dataset_index,shared_height_source_id,cv_process_group,target,component,variant,fold,model,observed,predicted,train_null,score_scale,alpha
121,zro2_20_supplement:m001,BASE:T01,D,median_depth_um,proc_gkf,1,h_only,10.947832584381104,25.624083884428593,27.368467758700717,1.0,316.22776601683796
132,zro2_20_supplement:m007,BASE:T12,D,median_depth_um,proc_gkf,1,h_only,32.68803787231445,26.44982773023788,27.368467758700717,1.0,316.22776601683796
133,zro2_20_supplement:m007,BASE:T12,D,median_depth_um,proc_gkf,1,h_only,34.78306579589844,26.44982773023788,27.368467758700717,1.0,316.22776601683796
156,zro2_60_pass:m009,BASE:T12,D,median_depth_um,proc_gkf,1,h_only,28.758760452270508,26.44982773023788,27.368467758700717,1.0,316.22776601683796
157,zro2_60_pass:m009,BASE:T12,D,median_depth_um,proc_gkf,1,h_only,16.298232078552246,26.44982773023788,27.368467758700717,1.0,316.22776601683796
158,zro2_60_pass:m010,BASE:T12,D,median_depth_um,proc_gkf,1,h_only,23.470155715942383,26.44982773023788,27.368467758700717,1.0,316.22776601683796
159,zro2_60_pass:m010,BASE:T12,D,median_depth_um,proc_gkf,1,h_only,8.48162031173706,26.44982773023788,27.368467758700717,1.0,316.22776601683796
172,zro2_60_pass:m017,BASE:T01,D,median_depth_um,proc_gkf,1,h_only,3.1857242584228516,25.624083884428593,27.368467758700717,1.0,316.22776601683796
173,zro2_60_pass:m017,BASE:T01,D,median_depth_um,proc_gkf,1,h_only,5.091886281967163,25.624083884428593,27.368467758700717,1.0,316.22776601683796
174,zro2_60_pass:m018,BASE:T01,D,median_depth_um,proc_gkf,1,h_only,1.2931949496269226,25.624083884428593,27.368467758700717,1.0,316.22776601683796
175,zro2_60_pass:m018,BASE:T01,D,median_depth_um,proc_gkf,1,h_only,7.14370059967041,25.624083884428593,27.368467758700717,1.0,316.22776601683796
196,zro2_60_pass:m029,BASE:T04,D,median_depth_um,proc_gkf,1,h_only,12.807421684265137,27.275571576047174,27.368467758700717,1.0,316.22776601683796
