i,j,pair_type,d_phi
20,70,random_ordinary,0.9865461161645154
112,91,random_ordinary,0.97356723646223
160,93,random_ordinary,0.991529348021331
110,113,random_ordinary,0.9885191801102059
28,96,random_ordinary,0.9885726138763284
87,103,random_ordinary,0.9854110530056058
186,47,random_ordinary,0.9858137467481476
103,129,random_ordinary,0.985789260118482
195,50,random_ordinary,0.9812166158838161
52,59,random_ordinary,0.9845198345004683
167,118,random_ordinary,0.9889276206408749
164,185,random_ordinary,0.9873741744404035
59,9,random_ordinary,0.9822921671416811
30,57,random_ordinary,0.9814964361877784
65,69,random_ordinary,0.9726945972126251
173,166,random_ordinary,0.9885706133469053
160,49,random_ordinary,0.9768778997620496
97,170,random_ordinary,0.9699719509253282
79,65,random_ordinary,0.9895824530399304
116,119,random_ordinary,0.9797198821469648
5,3,random_ordinary,0.9869170577171152
37,170,random_ordinary,0.9770076588490483
162,59,random_ordinary,0.9825873588628586
137,175,random_ordinary,0.9840299155328647
15,117,random_ordinary,0.9852691862114525
174,109,random_ordinary,0.9892711100378851
193,118,random_ordinary,0.9876710855112996
57,196,random_ordinary,0.9822180421984054
53,91,random_ordinary,0.9893970807777217
23,196,random_ordinary,0.9789038551490697
109,91,random_ordinary,0.9773984715299688
50,32,random_ordinary,0.9869227107073899
163,104,random_ordinary,0.9865839102456978
75,171,random_ordinary,0.9887113529652504
114,53,random_ordinary,0.9825797497698069
88,194,random_ordinary,0.9811174668206397
120,56,random_ordinary,0.9852679102127399
96,1,random_ordinary,0.9787559904772067
72,40,random_ordinary,0.9853576906698981
124,87,random_ordinary,0.9820345609793907
193,48,random_ordinary,0.9785235888153515
26,4,random_ordinary,0.9812109838156415
128,149,random_ordinary,0.9844502650638891
172,197,random_ordinary,0.9837275873161487
191,83,random_ordinary,0.9840838905791399
53,134,random_ordinary,0.981731206312813
95,19,random_ordinary,0.9438464807710567
73,39,random_ordinary,0.9902898936256329
43,189,random_ordinary,0.9821268024523544
38,159,random_ordinary,0.9828217328675314
139,45,random_ordinary,0.9861785428626554
34,130,random_ordinary,0.9784612690546428
42,71,random_ordinary,0.987489324116112
45,79,random_ordinary,0.9643389086651446
168,21,random_ordinary,0.9578200369860471
73,46,random_ordinary,0.9863136311583994
89,116,random_ordinary,0.9738770177467719
93,5,random_ordinary,0.9846424003425612
89,25,random_ordinary,0.9843497670416734
161,195,random_ordinary,0.9764619499417202
84,34,random_ordinary,0.9878968459241873
58,137,random_ordinary,0.9744368460589564
7,56,random_ordinary,0.9811209245114724
149,45,random_ordinary,0.9723648867716712
48,75,random_ordinary,0.9849472885839794
61,8,random_ordinary,0.9496029242588356
166,101,random_ordinary,0.9867937860544084
116,9,random_ordinary,0.9851389046180609
3,87,random_ordinary,0.981242791828228
148,196,random_ordinary,0.9719966919039005
96,180,random_ordinary,0.9838293814647477
153,0,random_ordinary,0.9825920634734022
87,130,random_ordinary,0.9843240147217266
50,56,random_ordinary,0.984855802154543
125,192,random_ordinary,0.9805837697346466
115,44,random_ordinary,0.9868095528095585
17,83,random_ordinary,0.9851790357802703
148,96,random_ordinary,0.9738600454390075
39,196,random_ordinary,0.9806600863226869
99,137,random_ordinary,0.9856964692837158
19,40,random_ordinary,0.9873111376315292
108,51,random_ordinary,0.9818183836563665
36,195,random_ordinary,0.9839941263110815
121,32,random_ordinary,0.9707288762382025
7,26,random_ordinary,0.9823355240226547
105,153,random_ordinary,0.9783285585427033
83,86,random_ordinary,0.978001380684311
168,117,random_ordinary,0.9800904395454545
136,32,random_ordinary,0.9817678203590148
194,176,random_ordinary,0.9883422350791342
