factor,factor_value,factor_native,W50_hat_um,note
pass_count,1.1025641025641026,1.1025641025641026,5.598450149788791,
pass_count,1.205128205128205,1.205128205128205,5.609383486694451,
pass_count,1.3076923076923077,1.3076923076923077,5.620316823600111,
pass_count,1.4102564102564101,1.4102564102564101,5.631250160505771,
pass_count,1.5128205128205128,1.5128205128205128,5.642183497411431,
pass_count,1.6153846153846154,1.6153846153846154,5.653116834317091,
pass_count,1.717948717948718,1.717948717948718,5.664050171222751,
pass_count,1.8205128205128205,1.8205128205128205,5.674983508128411,
pass_count,1.923076923076923,1.923076923076923,5.685916845034071,
pass_count,2.0256410256410255,2.0256410256410255,5.696850181939731,
pass_count,2.128205128205128,2.128205128205128,5.707783518845391,
pass_count,2.230769230769231,2.230769230769231,5.718716855751051,
pass_count,2.333333333333333,2.333333333333333,5.7296501926567105,
pass_count,2.435897435897436,2.435897435897436,5.740583529562371,
pass_count,2.5384615384615383,2.5384615384615383,5.751516866468031,
pass_count,2.641025641025641,2.641025641025641,5.762450203373691,
pass_count,2.7435897435897436,2.7435897435897436,5.773383540279351,
pass_count,2.846153846153846,2.846153846153846,5.784316877185011,
pass_count,2.948717948717949,2.948717948717949,5.795250214090671,
pass_count,3.051282051282051,3.051282051282051,5.806183550996331,
pass_count,3.1538461538461537,3.1538461538461537,5.8171168879019906,
pass_count,3.2564102564102564,3.2564102564102564,5.828050224807651,
pass_count,3.358974358974359,3.358974358974359,5.838983561713311,
pass_count,3.4615384615384617,3.4615384615384617,5.849916898618971,
pass_count,3.564102564102564,3.564102564102564,5.860850235524631,
pass_count,3.6666666666666665,3.6666666666666665,5.871783572430291,
pass_count,3.769230769230769,3.769230769230769,5.882716909335951,
pass_count,3.871794871794872,3.871794871794872,5.893650246241611,
pass_count,3.9743589743589745,3.9743589743589745,5.904583583147271,
pass_count,4.076923076923077,4.076923076923077,5.915516920052931,
pass_count,4.179487179487179,4.179487179487179,5.926450256958591,
pass_count,4.282051282051282,4.282051282051282,5.937383593864251,
pass_count,4.384615384615385,4.384615384615385,5.948316930769911,
pass_count,4.487179487179487,4.487179487179487,5.959250267675571,
pass_count,4.589743589743589,4.589743589743589,5.970183604581231,
pass_count,4.692307692307692,4.692307692307692,5.981116941486891,
pass_count,4.794871794871795,4.794871794871795,5.992050278392551,
pass_count,4.897435897435898,4.897435897435898,6.002983615298211,
pass_count,5.0,5.0,6.013916952203871,
