dataset_index,target_block,band_valid,band_energy,undefined_reason
65,ILR,True,3111188.398524566,
65,8_16,True,36721.24863994669,
65,16_32,True,94992.72227611966,
66,ILR,True,111479.02657522926,
66,8_16,True,6393.761746724554,
66,16_32,True,20468.039327078488,
67,ILR,True,361443.58102511906,
67,8_16,True,20294.4546325757,
67,16_32,True,27913.430155209873,
68,ILR,True,15176.582332978702,
68,8_16,True,4859.257965772236,
68,16_32,True,3631.426238311351,
69,ILR,True,437010.91558535147,
69,8_16,True,27822.097765397622,
69,16_32,True,76797.48954796865,
70,ILR,True,203955.82956322684,
70,8_16,True,24786.750399873355,
70,16_32,True,44262.063577001114,
71,ILR,True,17310.69167671663,
71,8_16,True,5707.386279172186,
71,16_32,True,11144.3597586901,
72,ILR,True,4105.6166213299575,
72,8_16,True,808.5119543625308,
72,16_32,True,968.7583841521662,
73,ILR,True,11665.552535223733,
73,8_16,True,2122.869206579305,
73,16_32,True,942.7806863875139,
74,ILR,True,1844.5911519364058,
74,8_16,True,514.0977906293739,
74,16_32,True,210.8303292317708,
75,ILR,True,3998.569433269746,
75,8_16,True,1147.440072879429,
75,16_32,True,527.0563848484401,
76,ILR,True,1583.533115034549,
76,8_16,True,608.9734656679991,
76,16_32,True,346.72415455755123,
77,ILR,True,13202.968566355508,
77,8_16,True,6312.766849915218,
77,16_32,True,1509.0234642831742,
78,ILR,True,164809.46646727712,
78,8_16,True,123944.01063801424,
78,16_32,True,11819.566296962965,
79,ILR,True,4676.682551586617,
79,8_16,True,526.0104498294974,
79,16_32,True,429.6570319790763,
80,ILR,True,5690.972090185045,
80,8_16,True,1191.6137279674067,
80,16_32,True,630.2117223701647,
81,ILR,True,18187.12888478126,
81,8_16,True,14308.872881465355,
81,16_32,True,8633.126404515084,
82,ILR,True,1092790.3300108141,
82,8_16,True,126166.99525795989,
82,16_32,True,403199.98803512636,
83,ILR,True,351839.39448110404,
83,8_16,True,3061.4249368171113,
83,16_32,True,2666.719561276134,
84,ILR,True,11904.38537410534,
84,8_16,True,7626.607816529916,
84,16_32,True,1523.889073360759,
85,ILR,True,51919.8610775184,
85,8_16,True,24466.755194404093,
85,16_32,True,7746.018423630482,
86,ILR,True,9058.010725299266,
86,8_16,True,5388.61303269445,
86,16_32,True,2855.716715890223,
87,ILR,True,38160.44945300379,
87,8_16,True,16335.588466131494,
87,16_32,True,6894.98658847851,
88,ILR,True,6638.931172075129,
88,8_16,True,3615.196294980361,
88,16_32,True,2321.1834223964142,
89,ILR,True,7350.0949978561375,
89,8_16,True,2705.3725181692585,
89,16_32,True,3334.1629400111283,
90,ILR,True,7689.8537560623,
90,8_16,True,991.723186953092,
90,16_32,True,1149.8508920502277,
91,ILR,True,20182.334494164505,
91,8_16,True,8980.45674494905,
91,16_32,True,3102.038763154445,
92,ILR,True,16490.51356504736,
92,8_16,True,4565.76438936809,
92,16_32,True,2480.207407637939,
93,ILR,True,8772.6015770442,
93,8_16,True,1509.0407215730286,
93,16_32,True,1996.4294205735455,
94,ILR,True,27524.34417223877,
94,8_16,True,6886.745582672547,
94,16_32,True,15662.043496103914,
95,ILR,True,12683.968740132623,
95,8_16,True,4916.625281530098,
95,16_32,True,5968.89890022947,
96,ILR,True,5855.180570854849,
96,8_16,True,3990.207698830611,
96,16_32,True,2773.449723434605,
97,ILR,True,2141.50386718123,
97,8_16,True,472.94982961730534,
97,16_32,True,436.0987826558088,
98,ILR,True,6137.082701453234,
98,8_16,True,793.8958221565772,
98,16_32,True,1626.8252796006338,
99,ILR,True,1994.729723193176,
99,8_16,True,519.8954654420406,
99,16_32,True,542.6872027525357,
100,ILR,True,2256.7778373975707,
100,8_16,True,742.9595780881732,
100,16_32,True,304.0879809894175,
101,ILR,True,7298.215877958031,
101,8_16,True,3062.5081067429333,
101,16_32,True,505.054076077296,
102,ILR,True,3173.15293888691,
102,8_16,True,1289.7986202108611,
102,16_32,True,298.81821136414015,
103,ILR,True,6795.341082131583,
103,8_16,True,1660.1064256091477,
103,16_32,True,814.9204526979705,
104,ILR,True,3053.39950169944,
104,8_16,True,498.87365368285487,
104,16_32,True,202.30540202250603,
105,ILR,True,3899.2625742395476,
105,8_16,True,2180.2055289484333,
105,16_32,True,546.5377958244819,
106,ILR,True,11951.196812947552,
106,8_16,True,6008.877677864717,
106,16_32,True,1900.9371035234956,
107,ILR,True,5886.675695017901,
107,8_16,True,2506.485679644531,
107,16_32,True,1306.7007863230983,
108,ILR,True,79955.56455221705,
108,8_16,True,73643.3052372122,
108,16_32,True,1267.4948656325505,
109,ILR,True,149145.02431275728,
109,8_16,True,788.604633392928,
109,16_32,True,549.971988977931,
110,ILR,True,60850.814517233746,
110,8_16,True,5240.468088267849,
110,16_32,True,18023.883324315215,
111,ILR,True,81921.40180405788,
111,8_16,True,60005.32075468688,
111,16_32,True,10782.016929049909,
112,ILR,True,3090.23345141998,
112,8_16,True,492.31236020844676,
112,16_32,True,625.6718697959441,
113,ILR,True,135000.46520019716,
113,8_16,True,5757.4569191143655,
113,16_32,True,4090.6975768271527,
114,ILR,True,8251.972764522203,
114,8_16,True,3012.00592531038,
114,16_32,True,2488.1265402567947,
115,ILR,True,10651.259091099517,
115,8_16,True,2460.204588631099,
115,16_32,True,2690.2993569048435,
116,ILR,True,110475.87000533487,
116,8_16,True,42071.14048852948,
116,16_32,True,4800.438526090917,
117,ILR,True,136262.84667648913,
117,8_16,True,6087.718946681596,
117,16_32,True,7477.043383921103,
118,ILR,True,209286.13148898727,
118,8_16,True,5245.1124512004,
118,16_32,True,6757.55905070896,
119,ILR,True,26570.589107575724,
119,8_16,True,1385.579292547483,
119,16_32,True,4358.7853919828685,
120,ILR,True,9135.365044610397,
120,8_16,True,5918.415213736235,
120,16_32,True,284.4822356884067,
121,ILR,True,5669.775146438046,
121,8_16,True,3207.703741887294,
121,16_32,True,181.86119436677023,
122,ILR,True,13903.94594490166,
122,8_16,True,5988.728875757059,
122,16_32,True,1487.7229114793774,
123,ILR,True,12792.400287677252,
123,8_16,True,4943.144675167616,
123,16_32,True,1825.1109318635743,
124,ILR,True,65203.62965009803,
124,8_16,True,2407.8344362698635,
124,16_32,True,2374.9201794982478,
125,ILR,True,8736.430405305873,
125,8_16,True,1638.7221531498826,
125,16_32,True,613.4523871285488,
126,ILR,True,21392.155120603573,
126,8_16,True,556.3108735653018,
126,16_32,True,454.18953399701593,
