dataset_index,target,observed_canonical,frozen_target,abs_error,passed
168,A_med,0.32816577539200303,0.328165775392003,5.551115123125783e-17,True
169,A_med,0.24052110401042662,0.2405211040104266,2.7755575615628914e-17,True
170,A_med,0.24841529559519335,0.2484152955951933,5.551115123125783e-17,True
171,A_med,0.18212913033334566,0.1821291303333456,5.551115123125783e-17,True
172,A_med,0.5516713388976374,0.5516713388976374,0.0,True
173,A_med,0.5272852483833238,0.5272852483833238,0.0,True
174,A_med,0.42987658191121786,0.4298765819112178,5.551115123125783e-17,True
175,A_med,0.7598801944158817,0.7598801944158817,0.0,True
176,A_med,1.0405235109006818,1.0405235109006818,0.0,True
177,A_med,0.4938035106255476,0.4938035106255476,0.0,True
178,A_med,0.6114627492972692,0.6114627492972692,0.0,True
179,A_med,0.7399276332930084,0.7399276332930084,0.0,True
180,A_med,0.6539848787307367,0.6539848787307367,0.0,True
181,A_med,0.8628701356461539,0.8628701356461539,0.0,True
182,A_med,2.8341842495836995,2.8341842495836995,0.0,True
183,A_med,1.4687941425369617,1.4687941425369615,2.220446049250313e-16,True
184,A_med,0.5030781956930406,0.5030781956930406,0.0,True
185,A_med,0.4180659252723649,0.4180659252723649,0.0,True
186,A_med,0.22572001790955873,0.2257200179095587,2.7755575615628914e-17,True
187,A_med,0.36844579503068814,0.3684457950306881,5.551115123125783e-17,True
188,A_med,0.5573875190742591,0.5573875190742591,0.0,True
189,A_med,0.20816829493269232,0.2081682949326923,2.7755575615628914e-17,True
190,A_med,0.34919959023577696,0.3491995902357769,5.551115123125783e-17,True
191,A_med,2.413869221433437,2.413869221433437,0.0,True
192,A_med,0.5532915454375014,0.5532915454375014,0.0,True
193,A_med,0.36389614757884364,0.3638961475788436,5.551115123125783e-17,True
194,A_med,0.4070781301371654,0.4070781301371654,0.0,True
195,A_med,0.4013749991569463,0.4013749991569463,0.0,True
196,A_med,0.45015906480225937,0.4501590648022593,5.551115123125783e-17,True
197,A_med,0.285669987480468,0.285669987480468,0.0,True
198,A_med,0.3901483414936136,0.3901483414936136,0.0,True
199,A_med,0.26305279132848575,0.2630527913284857,5.551115123125783e-17,True
0,ilr_z1,-1.7610573920420676,-1.7610573920420678,2.220446049250313e-16,True
1,ilr_z1,0.6003846747999098,0.60038467479991,2.220446049250313e-16,True
2,ilr_z1,1.104998029787216,1.104998029787216,0.0,True
3,ilr_z1,2.082066241546125,2.082066241546125,0.0,True
4,ilr_z1,1.7102650316149939,1.710265031614994,2.220446049250313e-16,True
5,ilr_z1,3.691202884258958,3.691202884258958,0.0,True
6,ilr_z1,3.374157047922897,3.374157047922897,0.0,True
7,ilr_z1,2.2203986280735353,2.220398628073535,4.440892098500626e-16,True
8,ilr_z1,1.7535050180301313,1.7535050180301313,0.0,True
9,ilr_z1,0.7037059434647864,0.7037059434647862,2.220446049250313e-16,True
10,ilr_z1,-1.0693823617288014,-1.0693823617288014,0.0,True
11,ilr_z1,-0.6477430447006476,-0.6477430447006477,1.1102230246251565e-16,True
12,ilr_z1,-0.45505826486796114,-0.4550582648679613,1.6653345369377348e-16,True
13,ilr_z1,3.0600869399523143,3.0600869399523143,0.0,True
14,ilr_z1,-0.5660781431101538,-0.566078143110154,2.220446049250313e-16,True
15,ilr_z1,-0.4460481891914985,-0.4460481891914988,2.7755575615628914e-16,True
16,ilr_z1,0.503819970047946,0.503819970047946,0.0,True
17,ilr_z1,-0.08829611427288114,-0.0882961142728812,5.551115123125783e-17,True
18,ilr_z1,0.21767164756038318,0.2176716475603831,8.326672684688674e-17,True
19,ilr_z1,-2.4535606470030062,-2.4535606470030067,4.440892098500626e-16,True
20,ilr_z1,-0.359555409747732,-0.359555409747732,0.0,True
21,ilr_z1,-1.0531226439110548,-1.0531226439110548,0.0,True
22,ilr_z1,-2.39758431593546,-2.39758431593546,0.0,True
23,ilr_z1,-3.1491350695388713,-3.149135069538872,4.440892098500626e-16,True
24,ilr_z1,0.0955558902762104,0.0955558902762105,9.71445146547012e-17,True
