job,vector,D_um,A_um,implausible_depth,all_finite,accepted,failure
domain_P11_79_w3.0_r3,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",0.2500142169491838,0.12518439800193137,False,True,True,
domain_P11_79_w2.0_r0,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",0.7144412060200682,0.2984560618254577,False,True,True,
domain_P11_79_w3.0_r1,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",0.8057810924044578,0.09508111292148005,False,True,True,
domain_P11_80_w0.874_r3,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",3.139910169023426e-06,0.0001463273723951499,False,True,True,
domain_P11_80_w0.874_r1,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.00038886789215641004,0.0001894644749481132,False,True,True,
domain_P11_80_w0.874_r0,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.0004858245486411134,0.000318725487392121,False,True,True,
domain_P11_80_w2.0_r3,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.00044411923252137356,8.109589487350744e-05,False,True,True,
domain_P11_79_w3.0_r0,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",1.069288317475403,0.060835648610862325,False,True,True,
domain_P11_80_w2.0_r1,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.0015688313061866341,6.226870701073134e-05,False,True,True,
domain_P11_80_w2.0_r0,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.0021604860364047664,0.000190476476047584,False,True,True,
domain_P11_80_w3.0_r3,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.0009651021711702106,9.120579637311782e-05,False,True,True,
