descriptor,error,passed,reason,job,switch,waist_um,dataset_index,check
entropy_16_32,9.083751143112995e-06,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
D,0.0007570805148972038,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
A_med,0.0002931911840091278,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
ilr_z1,3.062535836338223e-05,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
ilr_z2,0.00013960568941152578,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
ilr_z3,6.561837804742676e-05,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
ilr_z4,1.1964811399707564e-05,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
A2_8_16,1.1331038596296139e-07,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
entropy_8_16,2.9900405308647127e-07,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
A2_16_32,1.0598525743921172e-05,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
entropy_16_32,7.466240887321618e-06,True,,grid_2_P00_w3.0,P00,3.0,2,grid_to_direct_points
D,0.0011231492821931514,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
A_med,0.000585306859532358,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
ilr_z1,0.005794408769154747,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
ilr_z2,0.01080425601888252,False,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
ilr_z3,0.0006086367688871164,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
ilr_z4,0.00010431856020892694,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
A2_8_16,6.627352664101416e-06,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
entropy_8_16,6.179553534890747e-05,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
A2_16_32,0.000994255758308693,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
entropy_16_32,0.000640119685114654,True,,grid_0_P00_w2.0,P00,2.0,0,grid_finest
D,0.0011771186326260021,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
A_med,0.0012925727465650319,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
ilr_z1,0.00314535675502313,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
ilr_z2,0.006069733908014054,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
ilr_z3,0.000422938907796655,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
ilr_z4,7.318429080184138e-05,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
A2_8_16,5.010443713926449e-06,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
entropy_8_16,3.257376880316798e-05,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
A2_16_32,0.0006449545278102153,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
entropy_16_32,0.0004244319484067449,True,,grid_0_P00_w2.0,P00,2.0,0,grid_to_direct_points
D,0.00027807357686551325,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
A_med,0.007220192544897585,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
