dataset_index,model,target,fold,y_true,y_pred,abs_error,norm_abs_error
174,extratrees,A2_8_16,2,0.7674693265969352,0.8726489451723629,0.10517961857542768,0.1896584785098311
175,extratrees,A2_8_16,2,0.6893771332113418,0.9125287103094925,0.2231515770981507,0.40238393295896624
176,extratrees,A2_8_16,1,0.614173452796375,0.3131793150224007,0.3009941377739743,0.5344659223968247
177,extratrees,A2_8_16,1,0.5292008183387338,0.4257603381021923,0.10344048023654145,0.18367604130652251
178,extratrees,A2_8_16,0,0.172460089101729,0.5191366029981959,0.34667651389646686,0.621604678000575
179,extratrees,A2_8_16,0,0.2284488983539017,0.5128261189518225,0.2843772205979208,0.5098995852175338
180,extratrees,A2_8_16,4,0.876658817811322,0.8557296582209218,0.020929159590400204,0.03884202608916776
181,extratrees,A2_8_16,4,0.4323368626607115,0.8250963287871081,0.3927594661263967,0.7289147643102943
182,extratrees,A2_8_16,3,0.7136233011207184,0.662735403887138,0.05088789723358034,0.09715581102617742
183,extratrees,A2_8_16,3,0.9408544635622768,0.6794925375851752,0.2613619259771015,0.49899546395311867
184,extratrees,A2_8_16,2,0.0813683298711656,0.1387221703785826,0.05735384050741699,0.10341967649874599
185,extratrees,A2_8_16,2,0.1527146446101141,0.1487842447857076,0.003930399824406516,0.007087244284858029
186,extratrees,A2_8_16,1,0.1398920757864579,0.2858206350510622,0.1459285592646043,0.2591208008508271
187,extratrees,A2_8_16,1,0.0839330958615748,0.2395020999554931,0.1555690040939183,0.27623903868801775
188,extratrees,A2_8_16,0,0.1067703608298211,0.0832848878765342,0.0234854729532869,0.04211038033334712
189,extratrees,A2_8_16,0,0.2393366975971487,0.1368098963018026,0.10252680129534611,0.18383460301165808
190,extratrees,A2_8_16,4,0.1571360648425355,0.1627644451178457,0.0056283802753102075,0.010445603061559717
191,extratrees,A2_8_16,4,0.1248771653523978,0.137460985284964,0.012583819932566201,0.023354070191443328
192,extratrees,A2_8_16,3,0.753824022764901,0.6583445945894865,0.09547942817541455,0.18229052063437745
193,extratrees,A2_8_16,3,0.683685936277253,0.7629278781132994,0.07924194183604638,0.15128970825876265
194,extratrees,A2_8_16,2,0.678886742368729,0.7511564745528498,0.0722697321841208,0.13031581245489976
195,extratrees,A2_8_16,2,0.8367731569721454,0.7337631974207867,0.10300995955135872,0.1857461784372182
196,extratrees,A2_8_16,1,0.3743380418133872,0.2331187192862265,0.1412193225271607,0.2507587557449758
197,extratrees,A2_8_16,1,0.2879994399522551,0.3079249664793004,0.019925526527045323,0.03538113729815138
198,extratrees,A2_8_16,0,0.2957720351316506,0.3346513849141271,0.03887934978247648,0.06971220931806629
199,extratrees,A2_8_16,0,0.3726363977494947,0.3401676419067352,0.03246875584275949,0.05821776126070446
0,extratrees,Sq_um,4,0.5698619732077966,0.5603978057811707,0.009464167426625925,0.008923994624621298
1,extratrees,Sq_um,3,0.2474479139721646,0.5007420912591265,0.2532941772869619,0.3043291925205614
2,extratrees,Sq_um,2,0.2425357052854811,0.3993803936846926,0.15684468839921148,0.1855868705993594
3,extratrees,Sq_um,1,0.350995647916628,0.5037572473656624,0.1527615994490344,0.1871877836277747
4,extratrees,Sq_um,0,0.3828374774317057,0.5005960341577034,0.11775855672599767,0.12518363952128608
5,extratrees,Sq_um,4,0.7214708222399228,0.738323318946221,0.016852496706298292,0.01589063075906195
6,extratrees,Sq_um,3,0.8691893010855851,0.7029262858139261,0.166263015271659,0.19976254379639177
7,extratrees,Sq_um,2,1.092760064340996,0.6698715833265938,0.42288848101440224,0.5003838549139805
8,extratrees,Sq_um,1,0.3400339414728189,1.609025904764347,1.268991963291528,1.5549705810016057
9,extratrees,Sq_um,0,0.839902858973966,0.7622829256356599,0.07761993333830608,0.08251413761207885
10,extratrees,Sq_um,4,2.211524272470053,0.8314217870277613,1.3801024854422916,1.3013323419093716
11,extratrees,Sq_um,3,0.730294028634613,0.8890494666939314,0.15875543805931835,0.19074230126539618
12,extratrees,Sq_um,2,1.188968102091062,0.92518762550324,0.2637804765878221,0.31211890995339314
13,extratrees,Sq_um,1,1.3308509546385214,0.613161784216284,0.7176891704222375,0.8794268037879207
14,extratrees,Sq_um,0,1.69238254747746,1.2265387327313972,0.46584381474606285,0.495216872554599
15,extratrees,Sq_um,4,0.6026683783055695,1.8431402066381437,1.2404718283325742,1.1696711849042811
16,extratrees,Sq_um,3,1.9279678704881544,7.075709369278295,5.147741498790141,6.184934965388278
17,extratrees,Sq_um,2,0.8637443696690362,1.5607496922484425,0.6970053225794063,0.8247332946294365
18,extratrees,Sq_um,1,0.7175478934782686,2.96745680144984,2.2499089079715713,2.756945877541003
19,extratrees,Sq_um,0,9.064103038694258,1.428927585301478,7.63517545339278,8.116599576396482
20,extratrees,Sq_um,4,1.344573066738621,2.8563552047016447,1.5117821379630236,1.4254963024877774
21,extratrees,Sq_um,3,1.3731381680370502,2.1473059924089304,0.7741678243718801,0.9301511443730353
22,extratrees,Sq_um,2,6.507496998933839,2.7077192689379923,3.799777729995847,4.49609652121705
23,extratrees,Sq_um,1,6.829685811027613,1.0675082722934897,5.762177538734123,7.060735461239008
24,extratrees,Sq_um,0,0.5573334737748845,0.8437678134394507,0.2864343396645662,0.30449501182762473
25,extratrees,Sq_um,4,0.2535347896196451,0.7241144022562113,0.47057961263656617,0.44372101045154877
26,extratrees,Sq_um,3,1.754813660966502,0.567405614767107,1.187408046199395,1.4266531341653552
27,extratrees,Sq_um,2,0.3220712211231579,0.6919890215308417,0.36991780040768385,0.4377061643421622
28,extratrees,Sq_um,1,0.5222489243507809,1.297332650864565,0.7750837265137842,0.9497557332166872
29,extratrees,Sq_um,0,0.3347003218409163,0.729347376609575,0.39464705476865874,0.4195309115179585
30,extratrees,Sq_um,4,0.5314216325347324,0.6436234627461654,0.11220183021143304,0.105797846185871
31,extratrees,Sq_um,3,0.8646365340298404,2.3629212000437563,1.498284666013916,1.8001667762673232
32,extratrees,Sq_um,2,0.8677372999169544,1.9926385224634977,1.1249012225465433,1.331042190567775
33,extratrees,Sq_um,1,0.5843038896176586,2.402169602929539,1.8178657133118805,2.2275379089710463
34,extratrees,Sq_um,0,3.099172881562403,1.3334137163378357,1.7657591652245672,1.8770963653639883
35,extratrees,Sq_um,4,0.7647949042328561,1.5558531022114226,0.7910581979785665,0.7459080961166057
36,extratrees,Sq_um,3,1.8248260249942885,1.3423211848868408,0.48250484010744765,0.5797224000566105
37,extratrees,Sq_um,2,12.560357387242096,2.128919118681502,10.431438268560594,12.343025472339129
38,extratrees,Sq_um,1,1.0998376844810436,2.195460681170989,1.0956229966899456,1.342531376875473
39,extratrees,Sq_um,0,2.01277322504111,1.6920432774113274,0.32072994762978246,0.3409530760570511
40,extratrees,Sq_um,4,0.9623362754017653,2.7019065951000907,1.7395703196983254,1.640283342670434
41,extratrees,Sq_um,3,0.7597134590061623,2.276583639375205,1.5168701803690425,1.8224969957648962
42,extratrees,Sq_um,2,2.362876250095584,1.5913653363972444,0.7715109136983398,0.9128922220310723
43,extratrees,Sq_um,1,4.802227944160921,4.644588995615023,0.15763894854589822,0.19316428669342547
44,extratrees,Sq_um,0,5.759937507256592,2.6333224652186704,3.1266150420379217,3.3237588946935177
45,extratrees,Sq_um,4,0.6210842194186695,2.9771676688842645,2.356083449465595,2.221608630785397
46,extratrees,Sq_um,3,1.5157645732237823,3.026512812104575,1.5107482388807927,1.8151415739793157
47,extratrees,Sq_um,2,0.7467460731843392,3.3354451824457634,2.588699109261424,3.0630847082838932
48,extratrees,Sq_um,1,0.2192179934995302,0.3194889633100174,0.10027096981048722,0.12286792406421909
49,extratrees,Sq_um,0,0.219865856744249,0.3014209630089619,0.08155510626471288,0.08669743675202557
50,extratrees,Sq_um,4,0.8600324569718569,0.7763865353131574,0.08364592165869955,0.07887178254620633
51,extratrees,Sq_um,3,1.2356609171223525,0.7752304015302013,0.4604305155921512,0.553200426961405
