target,variant,model,fold,skill_q2,alpha,n_train,n_test
D,src_gkf_inbox,minus_h,2,0.5213929099356545,3.1622776601683795,81,20
D,src_gkf_inbox,minus_h,3,0.5767043617388947,3.1622776601683795,81,20
D,src_gkf_inbox,minus_h,4,0.25589546301555066,3.1622776601683795,81,20
D,src_gkf_inbox,dummy,0,0.0,,80,21
D,src_gkf_inbox,dummy,1,0.0,,81,20
D,src_gkf_inbox,dummy,2,0.0,,81,20
D,src_gkf_inbox,dummy,3,0.0,,81,20
D,src_gkf_inbox,dummy,4,0.0,,81,20
A,src_gkf_inbox,full,0,0.07251945237243396,316.22776601683796,80,21
A,src_gkf_inbox,full,1,-0.01816301373355378,316.22776601683796,81,20
A,src_gkf_inbox,full,2,0.08917893421683787,100.0,81,20
A,src_gkf_inbox,full,3,0.04375688271681011,316.22776601683796,81,20
A,src_gkf_inbox,full,4,-0.4539483970356124,100.0,81,20
A,src_gkf_inbox,h_only,0,-0.008002386476858359,1000.0,80,21
A,src_gkf_inbox,h_only,1,-0.0015564642714176458,1000.0,81,20
A,src_gkf_inbox,h_only,2,-0.002455408798612835,1000.0,81,20
A,src_gkf_inbox,h_only,3,-0.00034493513127209496,1000.0,81,20
A,src_gkf_inbox,h_only,4,0.0002153842730859834,1000.0,81,20
A,src_gkf_inbox,minus_h,0,0.09464546249694061,316.22776601683796,80,21
A,src_gkf_inbox,minus_h,1,-0.009990551510768775,316.22776601683796,81,20
A,src_gkf_inbox,minus_h,2,0.10367684311759795,100.0,81,20
A,src_gkf_inbox,minus_h,3,0.0808183494241973,100.0,81,20
A,src_gkf_inbox,minus_h,4,-0.4499901179397694,100.0,81,20
A,src_gkf_inbox,dummy,0,0.0,,80,21
A,src_gkf_inbox,dummy,1,0.0,,81,20
A,src_gkf_inbox,dummy,2,0.0,,81,20
A,src_gkf_inbox,dummy,3,0.0,,81,20
A,src_gkf_inbox,dummy,4,0.0,,81,20
Pl,src_gkf_inbox,full,0,0.42265348438561445,31.622776601683793,80,21
Pl,src_gkf_inbox,full,1,0.2588128871466757,31.622776601683793,81,20
Pl,src_gkf_inbox,full,2,0.3629219822441606,10.0,81,20
Pl,src_gkf_inbox,full,3,0.5042956401794,10.0,81,20
Pl,src_gkf_inbox,full,4,0.20639017127157788,31.622776601683793,81,20
Pl,src_gkf_inbox,h_only,0,0.2863572773489831,10.0,80,21
Pl,src_gkf_inbox,h_only,1,0.02521189353065567,3.1622776601683795,81,20
Pl,src_gkf_inbox,h_only,2,0.15757527500212554,3.1622776601683795,81,20
Pl,src_gkf_inbox,h_only,3,0.3250877614546531,10.0,81,20
Pl,src_gkf_inbox,h_only,4,0.1921056765085548,10.0,81,20
Pl,src_gkf_inbox,minus_h,0,0.12158547550000431,100.0,80,21
Pl,src_gkf_inbox,minus_h,1,0.15113375914427674,100.0,81,20
Pl,src_gkf_inbox,minus_h,2,0.18320037324416982,10.0,81,20
Pl,src_gkf_inbox,minus_h,3,0.18697566522166553,31.622776601683793,81,20
Pl,src_gkf_inbox,minus_h,4,-0.06748082490974494,31.622776601683793,81,20
Pl,src_gkf_inbox,dummy,0,0.0,,80,21
Pl,src_gkf_inbox,dummy,1,0.0,,81,20
Pl,src_gkf_inbox,dummy,2,0.0,,81,20
Pl,src_gkf_inbox,dummy,3,0.0,,81,20
Pl,src_gkf_inbox,dummy,4,0.0,,81,20
Ot_A2,src_gkf_inbox,full,0,0.7067205575717503,3.1622776601683795,80,21
Ot_A2,src_gkf_inbox,full,1,0.7450340395827952,3.1622776601683795,81,20
Ot_A2,src_gkf_inbox,full,2,0.6632913244812517,3.1622776601683795,81,20
Ot_A2,src_gkf_inbox,full,3,0.6319687382500437,0.001,81,20
Ot_A2,src_gkf_inbox,full,4,0.5925407363619484,1.0,81,20
Ot_A2,src_gkf_inbox,h_only,0,0.7044636970676054,3.1622776601683795,80,21
