depth_bin,metric,predictor,n,spearman,spearman_p,depth_min,depth_max
D_Q4,spectral_entropy,Q_log10,45,0.3101626823750447,0.038123118952899625,44.5562,65.0842
D_Q4,effective_band_number,N,45,-0.06145803582217632,0.6883825046792542,44.5562,65.0842
D_Q4,effective_band_number,Q_log10,45,0.3101626823750447,0.038123118952899625,44.5562,65.0842
D_Q4,lambda_peak_um,N,45,-0.12000181934804117,0.43234364502119804,44.5562,65.0842
D_Q4,lambda_peak_um,Q_log10,45,-0.14383208507237988,0.34587663599940716,44.5562,65.0842
D_Q4,A2_8_16,N,45,-0.13430997716194712,0.37906519849636816,44.5562,65.0842
D_Q4,A2_8_16,Q_log10,45,-0.30321726082473976,0.04289313034814854,44.5562,65.0842
D_Q4,A2_16_32,N,45,-0.054897908402955255,0.7202134120836448,44.5562,65.0842
D_Q4,A2_16_32,Q_log10,45,-0.310493416734583,0.03790729856457879,44.5562,65.0842
D_Q4,A2_32_64,N,45,0.055243178267124785,0.7185258245767722,44.5562,65.0842
D_Q4,A2_32_64,Q_log10,45,0.0009922030786149864,0.9948388414888429,44.5562,65.0842
D_Q4,angular_entropy_8_16,N,45,0.09253232359743402,0.5454729249505035,44.5562,65.0842
D_Q4,angular_entropy_8_16,Q_log10,45,0.3793523103904631,0.010169213651109586,44.5562,65.0842
D_Q4,Sq_um,N,45,-0.11842756341014875,0.43845004280047023,44.5562,65.0842
D_Q4,Sq_um,Q_log10,45,-0.13930531223754405,0.3614252202943887,44.5562,65.0842
D_Q4,Sa_um,N,45,-0.1802308690964946,0.23612226750333293,44.5562,65.0842
D_Q4,Sa_um,Q_log10,45,-0.15967854878510512,0.2947514838906851,44.5562,65.0842
D_Q4,rms_DCT_8_16_um,N,45,-0.2006017910824969,0.18640561674056066,44.5562,65.0842
D_Q4,rms_DCT_8_16_um,Q_log10,45,-0.08387423357892017,0.5838434629662903,44.5562,65.0842
D_Q4,rms_DCT_16_32_um,N,45,-0.0738877509322794,0.6295455667877299,44.5562,65.0842
