session_id,group,data_name,slot_1_sample_id,slot_2_sample_id,width,height,dx_um,dy_um,z_step_pm,n_valid,n_invalid,valid_fraction,z_min_um,z_max_um,z_mean_um,mask_source,mask_is_fabricated,timestamp,original_name,lut_structural_ok,lut_derived_bytes,lut_verified,lut_seam_ratio,lut_seam_headroom,lut_seam_conclusive,decoded,error
zro2_120_formal,65,65,65,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,50.001,39.124,cag_raw_sentinel,False,2026-05-22 23:13:45,MeasureData20260522231349,True,776,,,,,True,
zro2_120_formal,66,66,66,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,58.084,37.557,cag_raw_sentinel,False,2026-05-22 23:15:14,MeasureData20260522231517,True,776,,,,,True,
zro2_120_formal,67,67,67,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,79.533,61.722,cag_raw_sentinel,False,2026-05-22 23:17:01,MeasureData20260522231704,True,776,,,,,True,
zro2_120_formal,68,68,68,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,83.963,62.184,cag_raw_sentinel,False,2026-05-22 23:19:00,MeasureData20260522231904,True,776,,,,,True,
zro2_120_formal,69,69,69,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,29.545,19.007,cag_raw_sentinel,False,2026-05-22 23:20:15,MeasureData20260522232018,True,776,,,,,True,
zro2_120_formal,70,70,70,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,74.021,59.533,cag_raw_sentinel,False,2026-05-22 23:21:57,MeasureData20260522232200,True,776,,,,,True,
zro2_120_formal,71,71,71,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,43.262,32.062,cag_raw_sentinel,False,2026-05-22 23:23:20,MeasureData20260522232323,True,776,,,,,True,
zro2_120_formal,72,72,72,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,64.226,48.961,cag_raw_sentinel,False,2026-05-22 23:24:44,MeasureData20260522232448,True,776,,,,,True,
zro2_120_formal,73,73,73,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,48.276,32.334,cag_raw_sentinel,False,2026-05-22 23:27:23,MeasureData20260522232728,True,776,,,,,True,
zro2_120_formal,74,74,74,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,50.49,33.824,cag_raw_sentinel,False,2026-05-22 23:29:13,MeasureData20260522232917,True,776,,,,,True,
zro2_120_formal,75,75,75,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,31.14,14.008,cag_raw_sentinel,False,2026-05-22 23:30:43,MeasureData20260522233046,True,776,,,,,True,
