stratum_spec,stratum,target_id,model,fold,n_train_local,n_test,MAE_global,MAE_local,MAE_dummy,Skill_global,Skill_local,delta_skill
sq_q4,Q2,rms_DCT_32_64_um,extratrees,0,39,9,0.2598889753657621,0.292073646067686,0.4602457429864955,0.43532562913159256,0.3653963116042206,-0.06992931752737197
sq_q4,Q2,rms_DCT_64_inf_um,extratrees,0,39,9,0.3369553763411526,0.4361646216361532,0.7579296405046009,0.5554265747981297,0.42453151542434553,-0.1308950593737842
sq_q4,Q3,median_depth_um,ridge,0,42,12,7.583869294657347,6.331046709159996,18.562442460317463,0.5914401183534959,0.6589324533829843,0.06749233502948848
sq_q4,Q3,rms_DCT_8_16_um,ridge,0,42,12,0.3339864803744506,0.3449299065080573,0.361228990505271,0.07541617878652207,0.04512119576674967,-0.030294983019772403
sq_q4,Q3,rms_DCT_16_32_um,ridge,0,42,12,0.4624442198385114,0.46844493313692803,0.5522256173492427,0.1625810079975899,0.15171459197143589,-0.010866416026154013
sq_q4,Q3,rms_DCT_32_64_um,ridge,0,42,12,0.43948625343691744,0.42807519665702976,0.4865314629281145,0.09669510211747201,0.12014899492681264,0.023453892809340626
sq_q4,Q3,rms_DCT_64_inf_um,ridge,0,42,12,0.5866374031355145,0.5154799745311678,0.5460131343142485,-0.07440163297955649,0.05592019287489858,0.13032182585445506
sq_q4,Q3,median_depth_um,extratrees,0,42,12,2.124054049391509,3.825417322222238,18.562442460317463,0.8855724911238225,0.7939162731197598,-0.09165621800406276
sq_q4,Q3,rms_DCT_8_16_um,extratrees,0,42,12,0.19987352315927379,0.2638099348638476,0.361228990505271,0.4466847113248037,0.2696878107849484,-0.17699690053985528
sq_q4,Q3,rms_DCT_16_32_um,extratrees,0,42,12,0.2995644631189252,0.3574934882155256,0.5522256173492427,0.4575324763873234,0.3526314662265353,-0.10490101016078812
sq_q4,Q3,rms_DCT_32_64_um,extratrees,0,42,12,0.3289443417074483,0.317859600794795,0.4865314629281145,0.32389913752391764,0.34668233194662046,0.022783194422702824
sq_q4,Q3,rms_DCT_64_inf_um,extratrees,0,42,12,0.3400819477497374,0.5189568353367401,0.5460131343142485,0.37715427271387014,0.04955246912052591,-0.32760180359334423
sq_q4,Q4,median_depth_um,ridge,0,43,11,8.129464041327052,9.896682103064972,15.822029598308665,0.48619334891169264,0.3744998363469816,-0.11169351256471105
sq_q4,Q4,rms_DCT_8_16_um,ridge,0,43,11,0.24909529247200057,0.24447495520222526,0.25526592009481386,0.024173331169790813,0.0422734256440519,0.018100094474261086
sq_q4,Q4,rms_DCT_16_32_um,ridge,0,43,11,0.2587222914188069,0.33256211034815386,0.3591760711254763,0.27967837443039556,0.07409725456912464,-0.20558111986127092
sq_q4,Q4,rms_DCT_32_64_um,ridge,0,43,11,0.3257140312930265,0.37456609664184926,0.40180647881484116,0.1893758601062261,0.06779478084410062,-0.12158107926212547
sq_q4,Q4,rms_DCT_64_inf_um,ridge,0,43,11,0.5299494827133157,0.520510246721024,0.5637584654332491,0.05997068743606582,0.07671409187441447,0.016743404438348652
sq_q4,Q4,median_depth_um,extratrees,0,43,11,3.3187720269840995,4.110100443290062,15.822029598308665,0.790243596350062,0.7402292532855949,-0.05001434306446717
sq_q4,Q4,rms_DCT_8_16_um,extratrees,0,43,11,0.15764501284748442,0.19606809979963583,0.25526592009481386,0.38242828189156597,0.23190647726570823,-0.15052180462585774
sq_q4,Q4,rms_DCT_16_32_um,extratrees,0,43,11,0.1946509029864215,0.32923280106881525,0.3591760711254763,0.4580627201124954,0.08336655045764585,-0.37469616965484953
sq_q4,Q4,rms_DCT_32_64_um,extratrees,0,43,11,0.23884129378837005,0.39152529168644856,0.40180647881484116,0.4055812776019674,0.025587410035591618,-0.37999386756637576
sq_q4,Q4,rms_DCT_64_inf_um,extratrees,0,43,11,0.3369358305353364,0.5726265543767373,0.5637584654332491,0.4023400956358132,-0.015730298500569617,-0.4180703941363828
consensus_half,lower,median_depth_um,ridge,0,83,20,9.143713213827493,8.926810013198414,15.527329999999997,0.4111213445049796,0.4250904686640642,0.013969124159084578
