dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um
80,zro2_120_formal,81,81,zro2_120_formal:m081,single,formal,,81,-5100.0,7400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,2.0,4,5,1.0,0.0,50.5904,0.4747
81,zro2_120_formal,82,82,zro2_120_formal:m082,single,formal,,82,-5100.0,8000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,7,1.0,0.0,37.2541,0.849
82,zro2_120_formal,83,83,zro2_120_formal:m083,single,formal,,83,-5100.0,8600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,3,3,1.0,0.02703125,45.0402,7.107
83,zro2_120_formal,84,84,zro2_120_formal:m084,single,formal,,84,-5100.0,9200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,5,9,1.0,0.001875,47.2083,3.7834
84,zro2_120_formal,85,85,zro2_120_formal:m085,single,formal,,85,-5100.0,9800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,1,11,1.0,0.0,19.0499,0.6865
85,zro2_120_formal,86,86,zro2_120_formal:m086,single,formal,,86,-5100.0,10400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,1,5,1.0,0.0,4.8342,1.4247
86,zro2_120_formal,87,87,zro2_120_formal:m087,single,formal,,87,-5100.0,11000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,4,5,1.0,0.0,38.13,0.5949
87,zro2_120_formal,88,88,zro2_120_formal:m088,single,formal,,88,-5100.0,11600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,1,11,1.0,0.0,17.6588,1.2388
88,zro2_120_formal,89,89,zro2_120_formal:m089,single,formal,,89,-5100.0,12200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,3,11,1.0,0.0,38.2797,0.5117
89,zro2_120_formal,90,90,zro2_120_formal:m090,single,formal,,90,-5100.0,12800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,2,3,1.0,0.0,41.9254,0.5362
90,zro2_120_formal,91,91,zro2_120_formal:m091,single,formal,,91,-5100.0,13400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,3,9,1.0,0.0,47.3335,0.5492
91,zro2_120_formal,92,92,zro2_120_formal:m092,single,formal,,92,-5100.0,14000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,6.0,1,7,1.0,0.0,25.7712,0.8919
92,zro2_120_formal,93,93,zro2_120_formal:m093,single,formal,,93,-5100.0,14600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,2,5,1.0,0.0,35.6122,0.804
93,zro2_120_formal,94,94,zro2_120_formal:m094,single,formal,,94,-5100.0,15200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,3,1.0,0.0,45.2375,0.5899
94,zro2_120_formal,95,95,zro2_120_formal:m095,single,formal,,95,-5100.0,15800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,4,7,1.0,0.0,42.3406,1.0371
95,zro2_120_formal,96,96,zro2_120_formal:m096,single,formal,,96,-5100.0,16400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,7,1.0,0.0,44.5562,0.7039
96,zro2_120_formal,97,97,zro2_120_formal:m097,single,formal,,97,-5700.0,16400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,3,1.0,0.0,29.3917,0.4818
97,zro2_120_formal,98,98,zro2_120_formal:m098,single,formal,,98,-5700.0,15800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,2,3,1.0,0.0,9.6619,0.2896
98,zro2_120_formal,99,99,zro2_120_formal:m099,single,formal,,99,-5700.0,15200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,1,5,1.0,0.0,1.2564,0.4991
99,zro2_120_formal,100,100,zro2_120_formal:m100,single,formal,,100,-5700.0,14600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,1,7,1.0,0.0,0.1551,0.2791
100,zro2_120_formal,101,101,zro2_120_formal:m101,single,formal,,101,-5700.0,14000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,4,7,1.0,0.0,3.7229,0.297
101,zro2_120_formal,102,102,zro2_120_formal:m102,single,formal,,102,-5700.0,13400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,3,9,1.0,0.0,1.0191,0.538
102,zro2_120_formal,103,103,zro2_120_formal:m103,single,formal,,103,-5700.0,12800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,5,11,1.0,0.0,2.3362,0.3524
103,zro2_120_formal,104,104,zro2_120_formal:m104,single,formal,,104,-5700.0,12200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,7,1.0,0.001171875,38.7258,0.5216
104,zro2_120_formal,105,105,zro2_120_formal:m105,single,formal,,105,-5700.0,11600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,5,3,1.0,0.0,45.4095,0.347
105,zro2_120_formal,106,106,zro2_120_formal:m106,single,formal,,106,-5700.0,11000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,5,1.0,0.0,12.884,0.3911
106,zro2_120_formal,107,107,zro2_120_formal:m107,single,formal,,107,-5700.0,10400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,1,7,1.0,0.0,4.3336,0.6842
107,zro2_120_formal,108,108,zro2_120_formal:m108,single,formal,,108,-5700.0,9800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,3,7,1.0,0.0,15.7453,0.4831
108,zro2_120_formal,109,109,zro2_120_formal:m109,single,formal,,109,-5700.0,9200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,1,7,1.0,0.0,2.5218,1.7863
109,zro2_120_formal,110,110,zro2_120_formal:m110,single,formal,,110,-5700.0,8600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,4,9,1.0,0.00140625,41.7118,2.461
110,zro2_120_formal,111,111,zro2_120_formal:m111,single,formal,,111,-5700.0,8000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,5,1.0,0.0,37.6478,1.5684
111,zro2_120_formal,112,112,zro2_120_formal:m112,single,formal,,112,-5700.0,7400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,2,11,1.0,0.0,19.062,1.7889
112,zro2_120_formal,113,113,zro2_120_formal:m113,single,formal,,113,-5700.0,6800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,11,1.0,0.0,37.4686,0.3491
113,zro2_120_formal,114,114,zro2_120_formal:m114,single,formal,,114,-5700.0,6200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,4,9,1.0,0.0030078125,46.7777,2.3364
114,zro2_120_formal,115,115,zro2_120_formal:m115,single,formal,,115,-5700.0,5600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,5,5,1.0,0.0,45.0307,0.5744
115,zro2_120_formal,116,116,zro2_120_formal:m116,single,formal,,116,-5700.0,5000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,4,5,1.0,0.0015234375,41.4228,0.65
116,zro2_120_formal,117,117,zro2_120_formal:m117,single,formal,,117,-5700.0,4400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,10.0,1,9,1.0,0.0,4.1486,2.0789
