replicate,k,max_principal_angle_deg,note
160,1,27.90243478177404,
160,2,68.93511581425727,
160,3,83.08415223547176,
160,4,84.24593131840929,
160,5,83.24929474401236,
160,6,85.14107988679766,
161,1,29.405370602931132,
161,2,78.35713980473338,
161,3,58.748742767496694,
161,4,64.50336915027425,
161,5,74.95959730092281,
161,6,75.43952970085952,
162,1,22.932292091604698,
162,2,77.82100306545387,
162,3,63.55449230515286,
162,4,73.63121689059619,
162,5,79.88347161946407,
162,6,64.32832563634922,
163,1,44.53487042394895,
163,2,53.260935448177776,
163,3,59.5089132600247,
163,4,75.16939704247145,
163,5,49.870313468258466,
163,6,70.60912148821372,
164,1,16.632416621668554,
164,2,32.19157239191548,
164,3,53.55009241392198,
164,4,44.177643581114594,
164,5,47.906436752508604,
164,6,52.42064050714594,
165,1,63.52683638007911,
165,2,36.895622033146054,
165,3,50.28498610283601,
165,4,41.87885857795687,
165,5,57.87926112231415,
165,6,69.7951784591249,
166,1,25.294785659744772,
166,2,69.17685086399754,
166,3,54.93611364185049,
166,4,70.54050042201244,
166,5,51.085863883742235,
166,6,60.47043237954117,
167,1,41.00289425575115,
167,2,52.158115829019295,
167,3,59.30098835921071,
167,4,79.48695630414913,
167,5,78.54227273889691,
167,6,54.05843530305902,
168,1,35.150590520807555,
168,2,43.874367245935936,
168,3,30.742449577513554,
168,4,35.08214672918159,
168,5,71.46664125842679,
168,6,53.0241336305092,
169,1,25.169330921722327,
169,2,33.16084105099282,
169,3,63.020620955998766,
