dataset_index,W_hat_um,hatch_spacing_um,eta_h,bridge_coverage,in_box,p_8_16,A2_8_16,angular_entropy_8_16,ilr_z2
137,6.245786005372731,2.0,3.1228930026863657,out_of_box,False,0.0178501649678079,0.0111754569620902,0.930128723180822,0.5399935007442697
138,6.113259381600311,2.0,3.056629690800156,in_box_pred,True,0.1847908933976274,0.1424116865615261,0.9291252861861126,0.1680977377995088
139,6.219859416430495,2.0,3.1099297082152475,out_of_box,False,0.1798468419549713,0.0581753176629368,0.9307292946197184,0.4267985690410076
140,5.488973684030818,4.0,1.3722434210077046,in_box_pred,True,0.3013360338424688,0.2161409599196409,0.9186711438978736,-0.3867737094612926
141,5.595573718861004,4.0,1.3988934297152509,in_box_pred,True,0.2359916126573756,0.3554970461969606,0.8244759686032876,-0.4725933192029717
142,5.702173753691189,4.0,1.4255434384227972,exact_match,True,0.1697483102128793,0.5504001774406915,0.7039581650501197,-0.480606705362266
143,5.808773788521374,4.0,1.4521934471303437,exact_match,True,0.0670632467328167,0.4887500345928944,0.8428423390558621,-0.3130092631134917
144,5.650795823484105,2.0,2.8253979117420527,in_box_pred,True,0.0980992963841571,0.2757511201425458,0.9229279357306308,-0.3027621608401571
145,5.437595753823736,2.0,2.718797876911868,in_box_pred,True,0.1444384491418675,0.1384471986498286,0.922783471297476,-0.3019965021691972
146,5.54419578865392,2.0,2.77209789432696,in_box_pred,True,0.1241892480864522,0.1449642119347632,0.9231359438631118,-0.0911109063822424
147,5.330995718993551,2.0,2.6654978594967758,exact_match,True,0.1558258281900654,0.2034555409043313,0.9269865002523372,-0.2928733932939545
148,5.3365485294674,6.0,0.8894247549112334,exact_match,True,0.401710597995235,0.8280700095585045,0.4855636245332228,-1.0846568296883292
149,5.229948494637215,6.0,0.8716580824395358,in_box_pred,True,0.1328859474968257,0.1094047470852526,0.8920301113985419,-0.5480851664681791
150,5.443148564297585,6.0,0.9071914273829308,exact_match,True,0.1886239553165941,0.2602332049451156,0.8955164962962591,-0.2525456694938448
151,5.54974859912777,6.0,0.9249580998546284,in_box_pred,True,0.1255392642729608,0.092540025386341,0.9379010426946844,-0.5620448925305433
152,5.897565333319829,4.0,1.4743913333299572,in_box_pred,True,0.0364217616612413,0.1916593851968016,0.8968868497699488,-0.4809182251615883
153,5.577765228829274,4.0,1.3944413072073183,in_box_pred,True,0.0287520199617658,0.4093289965880195,0.8461600288419651,-0.5677240117208077
154,5.684365263659458,4.0,1.4210913159148646,exact_match,True,0.0328626821146418,0.7523513143574082,0.670712883086662,-0.4000705590825106
155,5.790965298489644,4.0,1.447741324622411,in_box_pred,True,0.0416435958762092,0.3496725676947528,0.9125242508369932,-0.3930149251358204
156,5.945499185873802,8.0,0.7431873982342253,exact_match,True,0.4358789631566422,0.5005700460312731,0.6888607676843875,-0.9637846254921072
157,5.732299116213432,8.0,0.716537389526679,in_box_pred,True,0.2648002595102144,0.8479548796209171,0.4699264956424556,-0.5841810634522199
158,5.838899151043617,8.0,0.7298623938804522,in_box_pred,True,0.4961240478265122,0.8997282243113676,0.443095790045536,-0.5748897410971575
159,5.625699081383248,8.0,0.703212385172906,in_box_pred,True,0.4015733472101155,0.906662852903617,0.3175805320209709,-0.2812695282973182
160,5.805769974152424,8.0,0.725721246769053,in_box_pred,True,0.5088771820307446,0.7199290861368496,0.529106012565758,-0.3107548375241632
161,5.9123700089826094,8.0,0.7390462511228262,exact_match,True,0.3550479848987524,0.8205349159920327,0.4332499422431948,-0.1572727872297372
162,6.125570078642979,8.0,0.7656962598303724,in_box_pred,True,0.0687775708107536,0.4118082086874167,0.7431830317351423,-0.3653410610632664
163,6.018970043812794,8.0,0.7523712554765992,in_box_pred,True,0.4710725716838595,0.7829337262209217,0.5337060876810991,-1.0196527553436392
164,5.556537132331972,10.0,0.5556537132331971,exact_match,True,0.6764301662347564,0.9582380550196586,0.2978953473076548,-1.5662458140815316
165,5.4499370975017865,10.0,0.5449937097501787,in_box_pred,True,0.7778128600771657,0.9755310556113246,0.2891071456764625,-1.8451569596223183
166,5.343337062671602,10.0,0.5343337062671603,in_box_pred,True,0.6945002041668196,0.839874019631054,0.5735781124762749,-1.1747991448331432
167,5.663137167162157,10.0,0.5663137167162157,in_box_pred,True,0.0301198360435335,0.9097755639079348,0.3864674284362529,-1.8398507875353969
168,5.793459277109755,2.0,2.896729638554877,in_box_pred,True,0.1913327549278874,0.0994156775443189,0.9489140989270426,0.1405350564302773
169,5.90005931193994,2.0,2.95002965596997,in_box_pred,True,0.1842514902661812,0.097587665196269,0.9460381156279748,-0.1987183265929584
170,5.686859242279571,2.0,2.8434296211397854,exact_match,True,0.3336929555162605,0.1742853627065956,0.9237814123548176,-0.0247410900691029
171,6.0066593467701255,2.0,3.0033296733850627,in_box_pred,True,0.2025555550279888,0.1599474558842803,0.9189652508805556,-0.0737937005648459
172,5.863149422782417,10.0,0.5863149422782417,in_box_pred,True,0.7385844374380425,0.8921688865244534,0.3591420375657302,-1.1143412015365697
173,5.969749457612601,10.0,0.5969749457612601,in_box_pred,True,0.7192385949231982,0.9661076702374072,0.2972264256107618,-1.210042262040108
174,5.756549387952232,10.0,0.5756549387952232,exact_match,True,0.5141086157929576,0.7674693265969352,0.5122610972711229,-0.3646944726413303
175,6.0763494924427865,10.0,0.6076349492442786,in_box_pred,True,0.2465341404848374,0.6893771332113418,0.6689971221992281,-1.467424952332843
176,5.601102058147315,6.0,0.9335170096912192,in_box_pred,True,0.1664049856670875,0.614173452796375,0.6525457217288756,-0.5854125650361839
