dataset_index,session_id,median_depth_um,Sq_um,Sa_um,Ssk,Sku,grad_rms_um_per_um,aniso_gradx_over_y,lap_rms_um,corr_len_um,pit_count_per_roi,pit_depth_um,rms_DCT_8_16_um,E_DCT_8_16_frac,rms_DCT_16_32_um,E_DCT_16_32_frac,rms_DCT_32_64_um,E_DCT_32_64_frac,rms_DCT_64_inf_um,E_DCT_64_inf_frac
111,zro2_120_formal,19.062,1.7888994111767211,1.5294557269662619,0.15523069022901465,-1.047567336733935,1.1380080861275865,3.8242002177377734,0.41932273286601046,21.25,0,4.054080009460449,1.5249137582051908,0.726639033128505,0.6555197375254393,0.13427640434763682,0.36346142268752785,0.041280486049739384,0.3028594633239547,0.028662261543660125
112,zro2_120_formal,37.4686,0.34909492339384735,0.2265924495458603,3.001239108982225,20.74670024285083,0.19526850838181747,1.0644714627034062,0.08236658468170904,4.0,5,0.9615802764892578,0.19194279282250115,0.30231281184038494,0.1920770060345171,0.30273573534206694,0.11695594443201379,0.11224255239867399,0.12295953476858057,0.12406159376426795
113,zro2_120_formal,46.7777,2.3363968848353256,0.7688552187383175,6.734526458939934,50.77543813030398,1.2561207600648494,1.1256525128246804,0.6233969561806548,5.0,0,1.565195083618164,1.094373219875181,0.21940053233044746,1.4471200592459719,0.38363293997497006,0.9988939494597407,0.1827870938435533,0.7262867929699078,0.09663246469510157
114,zro2_120_formal,45.0307,0.574357732843718,0.3356423456966877,3.4340280652516375,18.93703731514313,0.31920730203266046,1.0891635009520875,0.14797542308264044,4.25,3,1.2931289672851562,0.3365613035157558,0.34337084482352037,0.3012469460922302,0.27509352019578576,0.24886319981647906,0.1877398284263667,0.13923318413527674,0.058765246909914505
115,zro2_120_formal,41.4228,0.6500377846278316,0.405669369250536,2.9335101313088185,15.924641170359962,0.34752853842571074,1.1318218926308377,0.1672892737033385,4.75,6,2.021627426147461,0.3620635595121527,0.3102361701254349,0.39978373972770026,0.37824487246484684,0.22360253558901644,0.11832492693628811,0.19318653685159543,0.08832354897150435
116,zro2_120_formal,4.1486,2.07890918977518,1.4159275469885324,2.4483846643615927,13.935924892771414,1.1344412061372973,1.6545162105489235,0.541533049779973,7.25,0,4.716207504272461,1.3423503564715222,0.41692767787600704,0.7711745053401422,0.13760502357072987,0.9491614427473014,0.2084534741122035,0.8175605057129754,0.15465671069379006
117,zro2_120_formal,6.4736,2.3091058020637543,1.8455826937033635,-0.15857426330758842,0.09432810129247349,0.553995237095241,1.223169553576644,0.20718456628303908,17.0,5,8.497887372970581,0.5730677109010754,0.06159198675134435,0.6974865376778934,0.09123973058179813,1.0672407769794905,0.21361766108964764,1.8092067879767875,0.6138874457415178
118,zro2_120_formal,46.1205,2.9278653796538636,0.9636921086162329,4.2190260784656735,16.876202827863732,0.8758484776295643,0.7622546126127978,0.4126052903547551,10.25,0,1.2352027893066406,0.7671236711974825,0.06864810594196308,0.9580810340082434,0.10707849962182348,1.3256882768484415,0.20501263272198395,2.239086180288594,0.5848431534316227
119,zro2_120_formal,49.9109,1.0268721775919039,0.8051842680573463,-0.47907741653193936,-0.06915305092006552,0.25392779259066917,1.1143762610493466,0.11041239107240511,11.25,0,3.4793567657470703,0.2207086036699289,0.0461961467346954,0.3916099979789156,0.1454369531979002,0.5370327984135538,0.27350725226443146,0.7361649375620143,0.5139459918074913
120,zro2_20_supplement,8.9544,0.597389330003452,0.491915069911629,0.03790743543572683,-0.21332107296087166,0.4299302668635483,1.7930647650925233,0.32383926793355605,21.25,0,1.9602699279785156,0.47734296766557544,0.6384782902990147,0.160896596595957,0.0725402073408334,0.09921411405130924,0.027582396327488056,0.2123035584955249,0.12629891638098073
