scale,permutation,null_median_cos_pc1_next
G16,5,0.9945030452462638
G16,6,0.9945019581427906
G16,7,0.9853848128185638
G16,8,0.9983232139200366
G16,9,0.9884163044186405
G16,10,0.9920272210269607
G16,11,0.9987974948487744
G16,12,0.9885314649613155
G16,13,0.9541283473804345
G16,14,0.8562184212541414
G16,15,0.9933498295632593
G16,16,0.9284435353364023
G16,17,0.9915754755767918
G16,18,0.9985357721145665
G16,19,0.9898149597648598
G16,20,0.994718258330755
G16,21,0.9723269864695309
G16,22,0.996787484144092
G16,23,0.9519191635068819
G16,24,0.8729037814164777
G16,25,0.9554676980900416
G16,26,0.9930073358611831
G16,27,0.9792830161003352
G16,28,0.9946830588037071
G16,29,0.9960829578287451
G16,30,0.9783823523810833
G16,31,0.8020340085757076
G16,32,0.9974742465345774
G16,33,0.9903582846979704
G16,34,0.9755523666273033
G16,35,0.9891607676853029
G16,36,0.9940487515297743
G16,37,0.9939881601954047
G16,38,0.9661869703244078
G16,39,0.9745691903622808
G16,40,0.9990611524839231
G16,41,0.987799970893128
G16,42,0.9976518320589057
G16,43,0.9935618982847373
G16,44,0.9740494415661065
G16,45,0.9844183873452493
G16,46,0.9694876173726887
G16,47,0.9715499019231629
G16,48,0.9405186430569205
G16,49,0.9894625867221758
G16,50,0.9653063268852038
G16,51,0.9924139283280515
G16,52,0.9967848899263594
G16,53,0.9860673310640942
G16,54,0.9953363486982902
G16,55,0.9898757040160703
G16,56,0.9510161818687524
G16,57,0.9814167592670948
G16,58,0.997209485430958
G16,59,0.9617351397030688
G16,60,0.9867180716497653
G16,61,0.9919665368571142
G16,62,0.9549069479224337
G16,63,0.9879925921013102
G16,64,0.9919153193373074
G16,65,0.9962754000688208
G16,66,0.9905969085149009
G16,67,0.9892442075038176
G16,68,0.9870017954067908
G16,69,0.9640977452038875
G16,70,0.9803573225680408
G16,71,0.9969484124399637
G16,72,0.9866187502747861
G16,73,0.9979681662450627
G16,74,0.9970036096604836
G16,75,0.9987787228979901
G16,76,0.9772106684743023
G16,77,0.9970419464441497
G16,78,0.9860711281610053
G16,79,0.9946566327523818
G16,80,0.9898016176557428
G16,81,0.8859807066867487
G16,82,0.9976848414249966
G16,83,0.9700346533833633
G16,84,0.9669560195871642
G16,85,0.9932122551881811
G16,86,0.7828579992551298
G16,87,0.9914557919857083
G16,88,0.9288985052286632
G16,89,0.9008320534146173
G16,90,0.9491315500656036
G16,91,0.9666175226830465
G16,92,0.9693295875024078
G16,93,0.9956905053590228
G16,94,0.9201464069121079
G16,95,0.995607858976874
G16,96,0.9952313476278094
G16,97,0.9707754895164291
G16,98,0.9966265169832044
G16,99,0.9945405318910662
G16,100,0.9965287692188839
G16,101,0.8999576593418147
G16,102,0.978467991967131
G16,103,0.9438423652221133
G16,104,0.988423634214975
G16,105,0.959707398392514
G16,106,0.8588651437846534
G16,107,0.9947230184832734
G16,108,0.9865211110935546
G16,109,0.9975499713130327
G16,110,0.969314754907922
G16,111,0.9929103049352614
G16,112,0.9920595729996659
G16,113,0.9818989807644412
G16,114,0.9983927475142113
G16,115,0.9743786645793313
G16,116,0.9627046396945473
