subset,scale,n,evr_pc1,evr_cum3,eigengap_l1_over_l2,theta1_q25_deg,theta1_q50_deg,theta1_q75_deg,theta1_q90_deg,theta1_q95_deg,theta3_q50_deg,loco_median_deg,loco_max_deg,baseline_pool,rand_theta1_q50_deg,rand_theta1_q25_deg,rand_theta1_q75_deg,rand_theta1_q90_deg,prank1,stable_call
formal pulse=1000fs,total,24,0.7032231561692643,0.8623117008974256,7.5502440849460495,3.9630232578494966,5.6464547353590095,46.72420526636199,58.64806057089471,60.090047217978615,80.40447341991361,0.23441650747540738,41.91659781311207,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.67,not_called
formal pulse=1000fs,G2,24,0.7202900432195491,0.8744092083036379,7.876424629290251,3.881111454869596,5.583015381622087,44.689595599095014,57.25281829588527,58.221294273824235,79.33819646592876,0.22243319917614282,40.13493319894913,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.61,not_called
formal pulse=1000fs,G4,24,0.7461369799319115,0.8928568477263509,8.42013177137069,3.7468611768807323,5.490173691057499,42.01331795687548,55.18134229180718,55.81937251442102,78.24675525564467,0.19723082051362514,37.71200378770207,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.61,not_called
formal pulse=1000fs,G8,24,0.790888719813073,0.9218694896869977,9.722217899139222,3.494951144048218,5.3444825228308135,37.16683859353347,50.97848623709908,51.773660509657965,76.05567854100188,0.16074877957396938,33.33746607667861,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.67,not_called
formal pulse=1000fs,G16,24,0.8444602182965699,0.9511359580338824,12.811086393959878,3.121666008790218,4.921096581868358,29.11804315019076,44.029381530076016,45.16131107847312,61.665566796393136,0.133940303985287,26.020844715579347,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.62,not_called
formal pulse=1000fs,DCT_8_16,24,0.41153297171858944,0.6556638035954552,3.018171462507545,2.775477159830777,4.160042457581339,86.4979986062879,89.3458990621248,89.62528484595411,79.6880719854716,0.3876220557036456,89.61102261367064,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.96,fragile_stable
formal pulse=1000fs,DCT_16_32,24,0.44040476028964315,0.6992792504911147,2.7370244199821254,5.44201935897382,7.517794906915382,71.45743582005576,83.6583262710907,86.1585141496438,69.9943658684728,0.3398514730649122,71.10470122451451,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.76,not_called
formal pulse=1000fs,DCT_32_64,24,0.7826032010269542,0.9263250327434311,8.858819904409806,2.6751166817343006,3.683354473035784,54.679306796014984,61.25551758798244,62.94047875166823,76.80850486827708,0.1874264689050487,51.97393192649467,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.83,not_called
formal pulse=1000fs,DCT_64_inf,24,0.8310630872846548,0.9560346517670791,10.059016161545818,3.3006349395531043,5.47307028801999,27.476994468463207,46.46622175905293,48.450324387196964,55.009106254616356,0.12710875707713715,24.016084501447995,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.62,not_called
formal pulse=2000fs,total,24,0.6624880777617396,0.8070146871071939,9.08702710175002,3.1778907693455505,3.9738774856083916,48.48794397114516,60.627137920170874,72.4497470366024,80.7832822150274,0.3213209390723617,45.70520749601913,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.78,not_called
