feature,value_std,balance,response
pass_count,-0.7269004605005989,z1,-0.05408729692533232
pass_count,-0.7269004605005989,z2,-0.2198355336395444
pass_count,-0.7269004605005989,z3,0.18798980612842137
pass_count,-0.7269004605005989,z4,-0.7148752800064873
pass_count,-0.7269004605005989,z1,-0.05408729692533232
pass_count,-0.7269004605005989,z2,-0.2198355336395444
pass_count,-0.7269004605005989,z3,0.18798980612842137
pass_count,-0.7269004605005989,z4,-0.7148752800064873
pass_count,-0.7269004605005989,z1,-0.05408729692533232
pass_count,-0.7269004605005989,z2,-0.2198355336395444
pass_count,-0.7269004605005989,z3,0.18798980612842137
pass_count,-0.7269004605005989,z4,-0.7148752800064873
pass_count,-0.7269004605005989,z1,-0.05408729692533232
pass_count,-0.7269004605005989,z2,-0.2198355336395444
pass_count,-0.7269004605005989,z3,0.18798980612842137
pass_count,-0.7269004605005989,z4,-0.7148752800064873
pass_count,-0.6525583679494031,z1,-0.10042585522819691
pass_count,-0.6525583679494031,z2,-0.23098050170716522
pass_count,-0.6525583679494031,z3,0.16710658453865407
pass_count,-0.6525583679494031,z4,-0.7417386533517134
pass_count,-0.06608186004550903,z1,-0.49921553806765
pass_count,-0.06608186004550903,z2,-0.26813633394497005
pass_count,-0.06608186004550903,z3,0.058762856415207454
pass_count,-0.06608186004550903,z4,-0.8135868513978104
pass_count,-0.06608186004550903,z1,-0.49921553806765
pass_count,-0.06608186004550903,z2,-0.26813633394497005
pass_count,-0.06608186004550903,z3,0.058762856415207454
pass_count,-0.06608186004550903,z4,-0.8135868513978104
pass_count,-0.06608186004550903,z1,-0.49921553806765
pass_count,-0.06608186004550903,z2,-0.26813633394497005
pass_count,-0.06608186004550903,z3,0.058762856415207454
pass_count,-0.06608186004550903,z4,-0.8135868513978104
pass_count,-0.06608186004550903,z1,-0.49921553806765
pass_count,-0.06608186004550903,z2,-0.26813633394497005
pass_count,-0.06608186004550903,z3,0.058762856415207454
pass_count,-0.06608186004550903,z4,-0.8135868513978104
pass_count,-0.06608186004550903,z1,-0.49921553806765
pass_count,-0.06608186004550903,z2,-0.26813633394497005
pass_count,-0.06608186004550903,z3,0.058762856415207454
pass_count,-0.06608186004550903,z4,-0.8135868513978104
pass_count,0.5947367404095808,z1,-0.8163653041617247
pass_count,0.5947367404095808,z2,-0.20579305387934765
pass_count,0.5947367404095808,z3,0.03835162960279298
pass_count,0.5947367404095808,z4,-0.6787400650723815
pass_count,0.5947367404095808,z1,-0.8163653041617247
pass_count,0.5947367404095808,z2,-0.20579305387934765
pass_count,0.5947367404095808,z3,0.03835162960279298
pass_count,0.5947367404095808,z4,-0.6787400650723815
pass_count,0.5947367404095808,z1,-0.8163653041617247
pass_count,0.5947367404095808,z2,-0.20579305387934765
pass_count,0.5947367404095808,z3,0.03835162960279298
pass_count,0.5947367404095808,z4,-0.6787400650723815
pass_count,0.5947367404095808,z1,-0.8163653041617247
pass_count,0.5947367404095808,z2,-0.20579305387934765
pass_count,0.5947367404095808,z3,0.03835162960279298
pass_count,0.5947367404095808,z4,-0.6787400650723815
pass_count,0.5947367404095808,z1,-0.8163653041617247
pass_count,0.5947367404095808,z2,-0.20579305387934765
pass_count,0.5947367404095808,z3,0.03835162960279298
pass_count,0.5947367404095808,z4,-0.6787400650723815
pass_count,1.2555553408646705,z1,-0.7968803188251061
pass_count,1.2555553408646705,z2,-0.14213896856798847
pass_count,1.2555553408646705,z3,-0.11329119022467982
pass_count,1.2555553408646705,z4,-0.7986628231301426
pass_count,1.2555553408646705,z1,-0.7968803188251061
pass_count,1.2555553408646705,z2,-0.14213896856798847
pass_count,1.2555553408646705,z3,-0.11329119022467982
pass_count,1.2555553408646705,z4,-0.7986628231301426
pass_count,1.2555553408646705,z1,-0.7968803188251061
pass_count,1.2555553408646705,z2,-0.14213896856798847
pass_count,1.2555553408646705,z3,-0.11329119022467982
pass_count,1.2555553408646705,z4,-0.7986628231301426
pass_count,1.2555553408646705,z1,-0.7968803188251061
pass_count,1.2555553408646705,z2,-0.14213896856798847
pass_count,1.2555553408646705,z3,-0.11329119022467982
pass_count,1.2555553408646705,z4,-0.7986628231301426
pass_count,1.2885962708874137,z1,-0.7879763145743013
pass_count,1.2885962708874137,z2,-0.14011667347325085
pass_count,1.2885962708874137,z3,-0.12428058312323577
pass_count,1.2885962708874137,z4,-0.8124288674552276
velocity_mm_s,-1.1361499255760457,z1,-0.41565183039247533
velocity_mm_s,-1.1361499255760457,z2,-0.527128275965679
velocity_mm_s,-1.1361499255760457,z3,0.3803800059900541
velocity_mm_s,-1.1361499255760457,z4,-0.22990006045399192
velocity_mm_s,-1.1361499255760457,z1,-0.41565183039247533
velocity_mm_s,-1.1361499255760457,z2,-0.527128275965679
velocity_mm_s,-1.1361499255760457,z3,0.3803800059900541
velocity_mm_s,-1.1361499255760457,z4,-0.22990006045399192
velocity_mm_s,-0.8205527240271441,z1,-0.354528374161039
velocity_mm_s,-0.8205527240271441,z2,-0.4690778095683942
velocity_mm_s,-0.8205527240271441,z3,0.37106889181393937
velocity_mm_s,-0.8205527240271441,z4,-0.28025616285674787
velocity_mm_s,-0.8205527240271441,z1,-0.354528374161039
velocity_mm_s,-0.8205527240271441,z2,-0.4690778095683942
velocity_mm_s,-0.8205527240271441,z3,0.37106889181393937
velocity_mm_s,-0.8205527240271441,z4,-0.28025616285674787
velocity_mm_s,-0.8205527240271441,z1,-0.354528374161039
velocity_mm_s,-0.8205527240271441,z2,-0.4690778095683942
velocity_mm_s,-0.8205527240271441,z3,0.37106889181393937
velocity_mm_s,-0.8205527240271441,z4,-0.28025616285674787
velocity_mm_s,-0.8205527240271441,z1,-0.354528374161039
velocity_mm_s,-0.8205527240271441,z2,-0.4690778095683942
velocity_mm_s,-0.8205527240271441,z3,0.37106889181393937
velocity_mm_s,-0.8205527240271441,z4,-0.28025616285674787
velocity_mm_s,-0.8205527240271441,z1,-0.354528374161039
velocity_mm_s,-0.8205527240271441,z2,-0.4690778095683942
velocity_mm_s,-0.8205527240271441,z3,0.37106889181393937
velocity_mm_s,-0.8205527240271441,z4,-0.28025616285674787
velocity_mm_s,-0.8205527240271441,z1,-0.354528374161039
velocity_mm_s,-0.8205527240271441,z2,-0.4690778095683942
velocity_mm_s,-0.8205527240271441,z3,0.37106889181393937
velocity_mm_s,-0.8205527240271441,z4,-0.28025616285674787
velocity_mm_s,-0.5049555224782425,z1,-0.37976880230247145
velocity_mm_s,-0.5049555224782425,z2,-0.3795598747170218
velocity_mm_s,-0.5049555224782425,z3,0.2746900156956555
velocity_mm_s,-0.5049555224782425,z4,-0.45283170480478907
velocity_mm_s,-0.5049555224782425,z1,-0.37976880230247145
velocity_mm_s,-0.5049555224782425,z2,-0.3795598747170218
velocity_mm_s,-0.5049555224782425,z3,0.2746900156956555
velocity_mm_s,-0.5049555224782425,z4,-0.45283170480478907
velocity_mm_s,-0.5049555224782425,z1,-0.37976880230247145
velocity_mm_s,-0.5049555224782425,z2,-0.3795598747170218
velocity_mm_s,-0.5049555224782425,z3,0.2746900156956555
velocity_mm_s,-0.5049555224782425,z4,-0.45283170480478907
velocity_mm_s,-0.18935832092934085,z1,-0.4677997077439589
velocity_mm_s,-0.18935832092934085,z2,-0.2964386687467688
velocity_mm_s,-0.18935832092934085,z3,0.13772152106713437
velocity_mm_s,-0.18935832092934085,z4,-0.6755218478009201
velocity_mm_s,-0.18935832092934085,z1,-0.4677997077439589
velocity_mm_s,-0.18935832092934085,z2,-0.2964386687467688
velocity_mm_s,-0.18935832092934085,z3,0.13772152106713437
velocity_mm_s,-0.18935832092934085,z4,-0.6755218478009201
velocity_mm_s,-0.18935832092934085,z1,-0.4677997077439589
velocity_mm_s,-0.18935832092934085,z2,-0.2964386687467688
velocity_mm_s,-0.18935832092934085,z3,0.13772152106713437
