target,input_set,model,cv_variant,Q2_median,Q2_q25,Q2_q75,n_pos,n_folds,dA_median_median,R2_z1_median,R2_z2_median,R2_z3_median,R2_z4_median,R2_median,R2_q25,R2_q75
A2_32_64,C,spline,src_gss,,,,1,5,,,,,,-0.039979979899727125,-0.21576546523271078,-0.03905158239897122
A2_32_64,R,dummy,src_gkf,,,,0,5,,,,,,-0.024250972034080442,-0.030652082149032145,-0.00653189640684948
A2_32_64,R,extratrees,src_gkf,,,,2,5,,,,,,-0.008120396246022343,-0.03924365081681058,0.07785457485241853
A2_32_64,R,ridge,src_gkf,,,,2,5,,,,,,-7.827106218050162e-06,-0.010166540094717291,0.005888592369302725
A2_32_64,R,spline,src_gkf,,,,0,5,,,,,,-0.02132505116514105,-0.03739202545583642,-0.017714811305327594
A2_8_16,A,dummy,proc_gkf,,,,0,5,,,,,,-0.14780563180863115,-0.45152442421730554,-0.12664871498139796
A2_8_16,A,dummy,proc_gss,,,,0,5,,,,,,-0.02280454717653435,-0.04787694872894033,-0.011984386187220641
A2_8_16,A,dummy,src_gkf,,,,0,5,,,,,,-0.07539379342606489,-0.2243622502479854,-0.02137675934247718
A2_8_16,A,dummy,src_gss,,,,0,5,,,,,,-0.009730711546714677,-0.02143826145520511,-0.007783279477246774
A2_8_16,A,extratrees,proc_gkf,,,,5,5,,,,,,0.5363723318382629,0.406584862842981,0.5876789444451498
A2_8_16,A,extratrees,proc_gss,,,,5,5,,,,,,0.5567202834793712,0.5327291739017861,0.6876115719611648
A2_8_16,A,extratrees,src_gkf,,,,5,5,,,,,,0.5060298630054109,0.4085282924473146,0.7258844576207466
A2_8_16,A,extratrees,src_gss,,,,5,5,,,,,,0.627337093827828,0.6088663356876912,0.663884096532174
A2_8_16,A,ridge,proc_gkf,,,,5,5,,,,,,0.4947318877768231,0.31314001772809663,0.5781552367541132
A2_8_16,A,ridge,proc_gss,,,,5,5,,,,,,0.525212694766638,0.4513587042177981,0.6237476819740742
A2_8_16,A,ridge,src_gkf,,,,5,5,,,,,,0.5095332191546766,0.4536317191215925,0.6159782346982399
A2_8_16,A,ridge,src_gss,,,,5,5,,,,,,0.5659261784496502,0.4844976151579312,0.5905025742020563
A2_8_16,A,spline,proc_gkf,,,,0,5,,,,,,-0.4236048700040258,-0.5349654364109031,-0.2410347465725906
A2_8_16,A,spline,proc_gss,,,,0,5,,,,,,-0.2991698257859716,-0.4845219767405957,-0.20197205106286154
A2_8_16,A,spline,src_gkf,,,,0,5,,,,,,-0.2585807304531289,-0.8501193707003052,-0.027128603409764418
A2_8_16,A,spline,src_gss,,,,0,5,,,,,,-0.29615290259789795,-0.4654993275716961,-0.2448499331183407
A2_8_16,C,dummy,proc_gkf,,,,0,5,,,,,,-0.14780563180863115,-0.45152442421730554,-0.12664871498139796
A2_8_16,C,dummy,proc_gss,,,,0,5,,,,,,-0.02280454717653435,-0.04787694872894033,-0.011984386187220641
