dataset_index,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,dc_offset_frac,dc_to_non_dc_ratio
113,0.12167724642640355,0.22710966373827343,0.39711274658812484,0.18920972970102798,0.0648906135461701,0.03394453270253711,0.03513725024246986
114,0.1381908194440535,0.3514071077266884,0.2815318182766479,0.19213369774105868,0.0367365568115516,0.022868811490911422,0.023404033931006506
115,0.1065048736297475,0.31507115845538913,0.3841397671300726,0.12016900475818851,0.07411519602660223,0.015345702709373252,0.01558486338971806
116,0.0824792477175988,0.4175459733737742,0.13780908909829903,0.20876260649025552,0.15340308332007258,0.001480784242203205,0.0014829802159384657
117,0.01969717011206421,0.061698468788499106,0.09139746850996437,0.21398696958130078,0.6132199230081712,0.0017258457016137445,0.0017288293943928809
118,0.036089628468707224,0.07198305641063087,0.11228041288072602,0.21497222251980042,0.5646746797201353,0.046329659158169584,0.048580371197528435
119,0.021247190717346816,0.04693289113537385,0.1477564077085902,0.27786919478331756,0.5061943156553717,0.015697826894008664,0.015948178641599215
120,0.13510920561924236,0.6385208994142718,0.07254504834185466,0.027584237050222164,0.12624060957440908,6.673096416528428e-05,6.673541748403697e-05
121,0.07230142625920422,0.48117871969384574,0.04394318135891172,0.06703965937601968,0.3355370133120188,0.00021280810754340716,0.00021285340447359737
122,0.06896351963171264,0.44065071893915914,0.09046370523321337,0.027559555611011883,0.37236250058490294,0.0036614041448035334,0.0036748592898389193
123,0.04166875975816624,0.2878314041029171,0.05946573306650217,0.0422306012170434,0.5688035018553712,0.005423902550952916,0.005453481704280337
124,0.01394584848550087,0.02162737747598461,0.045920428856802586,0.13329219896004973,0.7852141462216621,0.09644926100591605,0.10674470933784223
125,0.173064488915682,0.2068033665429163,0.10725439601888957,0.036787592705373955,0.476090155817138,0.007313515049445845,0.007367396615468309
126,0.044470430759171654,0.03589792141222029,0.03464057687144837,0.10124661969340946,0.7837444512637503,0.000923928123782977,0.0009247825563952144
127,0.016627604551281455,0.01933689504721228,0.022139982545714688,0.07734311140499622,0.8645524064507953,0.022789054614617485,0.02332050692046861
128,0.09808448407429018,0.0803054078882494,0.03951516907808916,0.04160724812333258,0.7404876908360386,0.052522744903262614,0.05543430686143494
129,0.036454134293250055,0.05762521091132859,0.039507525967847484,0.0476779286212601,0.8187352002063136,0.0766119227632176,0.08296828240676121
130,0.16627609149353478,0.21860927131182473,0.14070502835957346,0.04315388730752615,0.431255721527541,0.003273727399538169,0.0032844798913517193
131,0.09592826275853139,0.1629661230210303,0.09236077076819647,0.15389308808600274,0.49485175536623904,0.0018272125737525296,0.0018305573912347694
132,0.2482358777267946,0.3514324181582739,0.12512928996717582,0.028538650441994273,0.24666376370576143,1.2837913599991243e-06,1.283793008121496e-06
133,0.18286459830805743,0.4003815440220855,0.20872726606583394,0.04397396338085055,0.16405262822317263,0.0023653100550754037,0.002370918011287261
134,0.23252923402153322,0.1717238418083919,0.1137931762067282,0.025629481802068813,0.4563242661612778,0.0012330393786952934,0.0012345616418150782
135,0.1345226446133213,0.21343415118937964,0.1477962332666596,0.16619342595070283,0.33805354497993634,0.0012660531033963952,0.0012676580257739718
136,0.1028222909555381,0.05635239776091297,0.04858115728974823,0.0886765096411975,0.7035676443526031,0.027919983302973326,0.028721898221754406
137,0.03830877117704816,0.017850164967807947,0.026684885469078583,0.06669664913579992,0.8504595292502652,0.05286421938780824,0.05581482662775011
138,0.23438169940456732,0.18479089339762744,0.3851598078569335,0.12401408208678948,0.07165351725408238,0.012499837963757717,0.012658061683739714
139,0.32887901099673766,0.17984684195497133,0.1628379067696164,0.08787894978288603,0.24055729049578856,0.001009774781630603,0.0010107954573928652
140,0.17438149654627635,0.3013360338424688,0.3460073866039055,0.1406463195784471,0.03762876342890231,0.010066432199720778,0.010168795692108198
141,0.12095860544467861,0.23599161265737562,0.17912559694176225,0.09082074470741447,0.3731034402487691,0.0024900535841582624,0.0024962694287964616
142,0.08602485713424136,0.16974831021287934,0.1478020456648818,0.18733650585566125,0.4090882811323361,0.0038085771033181844,0.0038231378184764636
143,0.04307635377161841,0.06706324673281677,0.26428402075591156,0.3338741432397412,0.29170223549991203,0.0005110102509665189,0.0005112715159521977
144,0.06393134927598672,0.09809929638415718,0.2842038523384373,0.2581532534087245,0.2956122485926943,0.00853117029491839,0.00860457741011993
145,0.09423257326189885,0.14443844914186757,0.337370850901599,0.13772847645363795,0.28622965024099667,0.002479244779007845,0.002485406710618858
146,0.10917546045115183,0.12418924808645228,0.11061211510088212,0.10316458332563824,0.5528585930358757,0.006932347900862899,0.006980740824866632
147,0.10298191318856617,0.15582582819006544,0.2919908929436786,0.24945334196451008,0.1997480237131797,0.01509826747535648,0.01532971968345959
148,0.08664293906228876,0.401710597995235,0.15308848146618287,0.10794791214211757,0.25061006933417573,2.257959746674259e-05,2.258010731647655e-05
149,0.061214356598684974,0.13288594749682578,0.16741594259803907,0.28874716917662324,0.349736584129827,0.013748575556324605,0.013940233915585876
