dataset_index,band,A2,theta_k_deg,theta_stripe_deg,angular_entropy
11,8_16,0.814635835404978,0.7708794255637167,90.77087942556372,0.41376291424474265
11,16_32,0.3546470817431268,6.551770431226841,96.55177043122684,0.6910102390670603
11,32_64,0.18080220995141588,84.1536124173075,174.1536124173075,0.4112279623517682
11,64_inf,0.5071298338770793,-90.0,0.0,0.15582021322438416
12,8_16,0.5767620748559564,33.1532057000201,123.1532057000201,0.8460415028747486
12,16_32,0.4679651508591732,31.423568314974844,121.42356831497484,0.7682458269695638
12,32_64,0.23008605155183862,42.336140225892535,132.33614022589254,0.564242787472761
12,64_inf,0.29100488814541714,-7.782176839738581e-15,89.99999999999999,0.18143797855523866
13,8_16,0.9553992553647613,-0.15681459653724267,89.84318540346275,0.3072768389189138
13,16_32,0.34760691548583983,-0.5938134368420127,89.40618656315799,0.756633739150059
13,32_64,0.3187259845445892,11.335765852805098,101.3357658528051,0.5271509553764311
13,64_inf,0.5931574858354975,-4.7115324394610335e-15,90.0,0.14095331390259958
14,8_16,0.11743184301900414,-64.70726432382753,25.29273567617247,0.8807898326788057
14,16_32,0.21508428006852992,-11.393397248046067,78.60660275195393,0.7337771820648412
14,32_64,0.21745649950330737,-15.544563403577529,74.45543659642247,0.5081113510594457
14,64_inf,0.00451876718857931,-3.899523852489567e-13,89.99999999999962,0.19342355455650861
15,8_16,0.30983343989597123,1.1082545078612243,91.10825450786122,0.8899661466723884
15,16_32,0.338270343883057,5.687560416692688,95.68756041669269,0.6776020995416395
15,32_64,0.7532570176729368,46.92323377967074,136.92323377967074,0.279269937385729
15,64_inf,0.15903457450771732,-90.0,0.0,0.18988244250761838
16,8_16,0.6126238653005717,-27.15887352818553,62.84112647181447,0.822723822343662
16,16_32,0.651110652809587,-26.876967858120977,63.12303214187902,0.6844924109616968
16,32_64,0.4336282003060167,-51.81209804047025,38.18790195952975,0.5291438252776823
16,64_inf,0.4283026414631289,-90.0,0.0,0.16698465898559722
17,8_16,0.18322756185221728,79.30884217347152,169.30884217347153,0.8920781841784104
17,16_32,0.433580975657529,75.83751198295973,165.8375119829597,0.7395207141202675
17,32_64,0.6458565193863393,39.726665862309034,129.72666586230903,0.3803550488437168
17,64_inf,0.2569686972875183,-90.0,0.0,0.18410881103710366
