registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,outer_reference_scale_um,bootstrap_u_mad_um,bootstrap_v_mad_um,bootstrap_u_ci_span_um,bootstrap_v_ci_span_um,bootstrap_u_q025_um,bootstrap_u_q975_um,bootstrap_v_q025_um,bootstrap_v_q975_um,bootstrap_replicates,u_multimodal,v_multimodal,center_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,qa_v3_status,qa_v4_status,qa_v5_vs_v2_center_shift_um,qa_v5_vs_v3_center_shift_um,qa_v5_vs_v4_center_shift_um,paired_center_separation_um,slot_assignment_conflict
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,71,71,single,-0.7000000000025182,identity,13.115323696872975,23.67212201987043,-1.0,1.5,27.5125694153759,78.7623180702233,132.91058345166485,61.61699186441214,300.8024628016762,106.27488748559921,194.527575316077,0.14867058991332935,2.0,0.5,8.0,2.75,-4.5,3.5,-0.75,2.0,256,True,False,False,fixed-domain_component,STOP,bootstrap centre distribution is multimodal; bootstrap CI span above review threshold; bootstrap MAD above review threshold,PASS,97.71789041559866,7.217258330923417,1.4142135623730951,PASS,REVIEW,9.326296585739282,0.8361328937914899,2.761340254296816,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,72,72,single,-0.7000000000025182,identity,-3.9253546196618267,12.520618759876097,-1.5,3.25,45.503314642454455,75.77602472209516,97.70063922477159,35.620406316950564,254.60038490627176,121.27933936454961,133.32104554172216,0.43714664112879276,0.625,0.5,2.75,3.75,-2.75,0.0,1.5,5.25,256,False,False,False,fixed-domain_component,PASS,,REVIEW,120.5662574902387,10.433009286489435,4.716990566028302,PASS,PASS,14.231970597628079,1.2747390919861576,1.677050983124842,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,73,73,single,-0.7000000000025182,identity,-16.504183785531477,7.553106589373797,-1.75,0.0,54.53214653813771,78.92245308115758,109.79085996768507,40.379896477072364,283.62535606405277,133.4545996192953,150.17075644475744,0.273944554568794,0.75,1.0,3.0,2.25,-2.75,0.25,-1.25,1.0,256,False,False,False,fixed-domain_component,PASS,,REVIEW,98.84349996642216,10.472207395408832,4.6097722286464435,PASS,PASS,7.173858648575372,1.8024528177882462,1.4577379737113239,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,74,74,single,-0.7000000000025182,identity,-26.423115466385596,11.757115920607081,-0.75,-0.75,47.952851681822494,56.517267739298845,122.51959666122133,52.073104491836645,279.06282057417934,104.47011942112134,174.592701153058,0.22402419596700798,0.5,0.75,2.0,4.0625,-2.0,0.0,-3.0,1.0625,256,False,False,False,fixed-domain_component,PASS,,PASS,75.0633833985704,11.19991752910992,2.23606797749979,PASS,PASS,3.6787732321706548,1.012990992151775,1.581138830084187,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,75,75,single,-0.7000000000025182,identity,-0.8484422630255462,17.520099033486385,-3.25,0.0,5.063890350623939,7.036225031376329,24.789303343761304,29.786698876050107,66.67611760181168,12.100115382000268,54.576002219811414,0.16010833602528146,0.5,0.5,3.75,3.5,-5.75,-2.0,-2.25,1.25,256,False,False,False,fixed-domain_component,PASS,,REVIEW,7.1227548751014815,3.6466560679208735,4.031128874149275,REVIEW,PASS,4.030641477643489,0.24697109452957655,1.2747548783981963,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,76,76,single,-0.7000000000025182,identity,-4.46878501435455,12.144849750961534,0.0,-1.0,24.452156736128384,30.65200090557888,41.94068675255668,41.29307704874657,138.3379214430105,55.10415764170726,83.23376380130324,0.3237425011529205,0.5,0.0,2.5,2.0,-0.75,1.75,-2.25,-0.25,256,False,False,False,fixed-domain_component,PASS,,REVIEW,39.52176616472615,6.672124129594589,4.609772228646444,PASS,PASS,12.601799490173724,1.0929799783012377,1.2500000000000004,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,77,77,single,-0.7000000000025182,identity,5.627870769129175,9.920488204495822,-4.375,0.25,47.554480173844304,164.52609026651817,211.48550269151713,74.67208352728669,498.2381566591663,212.08057044036246,286.15758621880383,0.15532335519251841,0.625,0.25,2.25,2.25,-5.5,-3.25,-0.5,1.75,256,False,False,False,fixed-domain_component,PASS,,PASS,160.99730786883813,13.11868513795029,1.5,REVIEW,PASS,3.9020258011828957,6.859552344110579,1.1524430571616122,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,78,78,single,-0.7000000000025182,identity,-9.581602563381953,17.034065488041122,0.25,0.0,18.288531492018336,26.66311602226451,50.592798873629356,38.42768255513866,133.97212894305088,44.95164751428285,89.02048142876802,0.1635155606350307,0.25,0.75,2.0,3.0,0.0,2.0,-1.0,2.0,256,False,False,False,fixed-domain_component,PASS,,PASS,27.854655189258143,4.7935330632782955,1.5,REVIEW,PASS,7.267030040777625,1.1848364067296449,2.500000000000001,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,79,79,single,-0.7000000000025182,identity,-10.778450963220752,13.046314720262409,-1.5,-2.875,22.891359021102485,30.027727856397618,75.64809848398828,50.37990849937404,178.94709386086242,52.919086877500106,126.02800698336232,0.17959872051109932,2.25,0.875,6.0,3.15625,-4.5,1.5,-4.75,-1.59375,256,True,False,False,fixed-domain_component,STOP,bootstrap centre distribution is multimodal; bootstrap MAD above review threshold,PASS,39.073813170683174,6.556000028898895,1.0,STOP,STOP,4.878669595137067,1.1032091708147016,3.0644126680328148,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,80,80,single,-0.7000000000025182,identity,-12.344795740638144,12.580088388854065,-1.5,3.75,133.11583388921696,200.24038680914828,269.94774292639386,74.74410555599042,678.0480691807495,333.35622069836523,344.6918484823843,0.16994768721912545,0.25,0.75,2.5,3.0,-1.75,0.75,2.5,5.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,247.43360248003427,15.791580600105947,3.3541019662496847,PASS,PASS,6.522883858976297,1.3689922570666422,1.1180339887498971,,
