target_id,family,cv_variant,model,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
E_DCT_32_64_frac,C,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_32_64_frac,C,proc_gkf,extratrees,-0.0661342172939206,-0.11197289821112849,-0.0151301338208297,5,1,R-A
E_DCT_32_64_frac,C,proc_gkf,ridge,-0.0011075775163303936,-0.12043630607098081,0.055139728107583524,5,2,R-A
E_DCT_32_64_frac,C,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_32_64_frac,C,proc_gss,extratrees,0.0066404489231662,-0.008096416955903199,0.023662666526779702,5,3,R-A
E_DCT_32_64_frac,C,proc_gss,ridge,0.012375853429948597,0.0018111989951924978,0.040441122464702106,5,5,R-A
E_DCT_32_64_frac,C,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_32_64_frac,C,src_gkf,extratrees,-0.013793863825496008,-0.023954576518984916,-0.009700025060426096,5,1,R-A
E_DCT_32_64_frac,C,src_gkf,ridge,-0.0176758648652815,-0.021125663765964003,0.07452702540418049,5,2,R-A
E_DCT_32_64_frac,C,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_32_64_frac,C,src_gss,extratrees,-0.030873363752024503,-0.1745245465308435,-0.010257605792749591,5,1,R-A
E_DCT_32_64_frac,C,src_gss,ridge,-0.0472142341471469,-0.049223777681508984,0.004390444186994913,5,2,R-A
E_DCT_64_inf_frac,C,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_64_inf_frac,C,proc_gkf,extratrees,-0.1176639260733627,-0.1982533989021362,-0.0897176072065431,5,1,R-A
E_DCT_64_inf_frac,C,proc_gkf,ridge,-0.3240400496687047,-0.41045856251944757,-0.2878349043327392,5,0,R-A
E_DCT_64_inf_frac,C,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_64_inf_frac,C,proc_gss,extratrees,-0.1231413199138976,-0.2227247359763304,-0.0928302493178756,5,1,R-A
E_DCT_64_inf_frac,C,proc_gss,ridge,-0.3318989818195848,-0.33338379140542884,-0.26009955255420447,5,0,R-A
E_DCT_64_inf_frac,C,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_64_inf_frac,C,src_gkf,extratrees,-0.1783759633373937,-0.18827376348371622,-0.004349952227997195,5,1,R-A
E_DCT_64_inf_frac,C,src_gkf,ridge,-0.2863419524371586,-0.3141097208812178,-0.19194065704250712,5,0,R-A
E_DCT_64_inf_frac,C,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_64_inf_frac,C,src_gss,extratrees,-0.0793739583087188,-0.1175896082533715,-0.05109521899540451,5,1,R-A
E_DCT_64_inf_frac,C,src_gss,ridge,-0.2231520334422064,-0.2726507245590545,-0.1856028378214232,5,0,R-A
E_DCT_8_16_frac,C,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_8_16_frac,C,proc_gkf,extratrees,-0.185373049731454,-0.4271228104613246,-0.12013018007975895,5,0,R-A
E_DCT_8_16_frac,C,proc_gkf,ridge,-0.4833163207356215,-0.6167891741049543,-0.39380186791541605,5,0,R-A
E_DCT_8_16_frac,C,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_8_16_frac,C,proc_gss,extratrees,-0.26620931003885906,-0.35264296903650916,-0.11267992850559999,5,1,R-A
E_DCT_8_16_frac,C,proc_gss,ridge,-0.40519017838790006,-0.41055897437961375,-0.3703232460666258,5,0,R-A
E_DCT_8_16_frac,C,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_8_16_frac,C,src_gkf,extratrees,-0.26070545426655223,-0.28288330722634414,-0.23982510060417678,5,0,R-A
E_DCT_8_16_frac,C,src_gkf,ridge,-0.3986471268055413,-0.4894363666508598,-0.3576498651817442,5,0,R-A
E_DCT_8_16_frac,C,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_8_16_frac,C,src_gss,extratrees,-0.3610431655609635,-0.4041867295129808,-0.35401242316715376,5,0,R-A
E_DCT_8_16_frac,C,src_gss,ridge,-0.40658386603832064,-0.4913036959057659,-0.37809339044372137,5,0,R-A
Sa_um,B,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
Sa_um,B,proc_gkf,extratrees,0.04209066105881368,0.022735724195806883,0.051839437583822257,5,4,R-A
Sa_um,B,proc_gkf,ridge,-0.017135883788700096,-0.05923012538527209,0.059858443321412005,5,2,R-A
Sa_um,B,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
Sa_um,B,proc_gss,extratrees,0.1959235777429244,0.027917332539934794,0.23431328856963218,5,4,R-A
Sa_um,B,proc_gss,ridge,0.0421337310688984,-0.16198910925678503,0.237798650248376,5,3,R-A
Sa_um,B,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
Sa_um,B,src_gkf,extratrees,0.09675833290883679,0.033134665257084694,0.1350199423223575,5,4,R-A
Sa_um,B,src_gkf,ridge,0.058466441509505696,0.029620415781069005,0.07925607121368439,5,4,R-A
Sa_um,B,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
Sa_um,B,src_gss,extratrees,0.0199037294228456,0.0197382918283223,0.028540670189706602,5,4,R-A
Sa_um,B,src_gss,ridge,0.0174696145544926,-0.012465839173371407,0.0501137795653613,5,3,R-A
Sq_um,B,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
Sq_um,B,proc_gkf,extratrees,0.1038758633428167,0.017496713591489216,0.1243780869161374,5,4,R-A
Sq_um,B,proc_gkf,ridge,0.045451278139054405,-0.0421635110597757,0.07214818865436888,5,3,R-A
Sq_um,B,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
Sq_um,B,proc_gss,extratrees,0.1809983907956452,0.08289887913661481,0.3792371053893622,5,5,R-A
Sq_um,B,proc_gss,ridge,-0.01003153765045689,-0.10919379670811208,-0.0072108073331050015,5,1,R-A
Sq_um,B,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
Sq_um,B,src_gkf,extratrees,0.10070603771212758,0.01991969987676509,0.24211982814584299,5,4,R-A
Sq_um,B,src_gkf,ridge,0.0335882944470928,-0.04982862668783031,0.07518680727688981,5,3,R-A
Sq_um,B,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
Sq_um,B,src_gss,extratrees,-0.004843388474259899,-0.01691440170497366,0.0006129425338650962,5,2,R-A
Sq_um,B,src_gss,ridge,0.004659556283091837,-0.009236302329424698,0.049001297838865615,5,3,R-A
Ssk_skewness,B,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
Ssk_skewness,B,proc_gkf,extratrees,0.011129085465591382,0.0016300181998061825,0.08737186614647321,5,4,R-A
Ssk_skewness,B,proc_gkf,ridge,-0.04574340374311449,-0.0475880715010997,0.09472930646574089,5,2,R-A
Ssk_skewness,B,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
Ssk_skewness,B,proc_gss,extratrees,-0.0689465885569894,-0.2211193921712544,0.15542391140702977,5,2,R-A
