target_id,family,input_set,model,R2_median,R2_q10,R2_q25,R2_q75,R2_q90,n_folds
Sq_um,B,C,dummy,-0.0141835659035964,-0.03355889554293238,-0.0186905615507149,-0.0057710792569347,-0.0025033472339795397,5
Sq_um,B,C,extratrees,-0.0161264155046516,-0.7019865369558442,-0.0206635745256595,0.1453593151061023,0.2531070424579853,5
Sq_um,B,C,ridge,0.1335257366126497,-0.04557226450258796,-0.0217650802035902,0.1459146123678646,0.22520412134689427,5
Sq_um,B,R,dummy,-0.0141835659035964,-0.03355889554293238,-0.0186905615507149,-0.0057710792569347,-0.0025033472339795397,5
Sq_um,B,R,extratrees,0.0511181356604431,-0.33271386362914646,-0.0377701114467472,0.1447806042674183,0.24578727261131714,5
Sq_um,B,R,ridge,0.1267713650319761,-0.09541685409515929,0.0972817831575946,0.1530794136592369,0.21882629783346016,5
Ssk_skewness,B,A,dummy,-0.0651423960574626,-0.11391085067991916,-0.1091058631777528,-0.036825570011215,-0.015662719574179057,5
Ssk_skewness,B,A,extratrees,0.0563411312194034,-0.042445780327077,-0.0178246577464731,0.1569220872424536,0.2013337396925009,5
Ssk_skewness,B,A,ridge,0.0521598777945498,-0.0537208388636432,0.0014207679199162,0.0850306938885923,0.1384409623738611,5
Ssk_skewness,B,C,dummy,-0.0651423960574626,-0.11391085067991916,-0.1091058631777528,-0.036825570011215,-0.015662719574179057,5
Ssk_skewness,B,C,extratrees,0.1030971349398084,-0.27333960389304934,-0.0481293222121372,0.1374942677771744,0.23705495923195757,5
Ssk_skewness,B,C,ridge,0.0884157929869308,-0.09494866302692012,-0.0302810063781664,0.1954711729905233,0.21980284224211988,5
Ssk_skewness,B,R,dummy,-0.0651423960574626,-0.11391085067991916,-0.1091058631777528,-0.036825570011215,-0.015662719574179057,5
Ssk_skewness,B,R,extratrees,0.0960930053019317,-0.3876611571420837,-0.1877440128073586,0.2010470784652958,0.2420370445189837,5
Ssk_skewness,B,R,ridge,0.0680456598314616,-0.2289322956522262,0.0005219116726263,0.2293234447098455,0.2476134387384277,5
acf_e_fold_lag_um,B,A,dummy,-0.0139682463506252,-0.01571717468196688,-0.0149898662342926,-0.0123333076296161,-0.00530793090037958,5
acf_e_fold_lag_um,B,A,extratrees,0.3007429746967092,0.05999737059712111,0.2794222430717028,0.3128024419661862,0.31516808780597416,5
acf_e_fold_lag_um,B,A,ridge,0.1733028826389036,0.08728640472475005,0.1675704742878127,0.1805004309351013,0.2196748528167333,5
acf_e_fold_lag_um,B,C,dummy,-0.0139682463506252,-0.01571717468196688,-0.0149898662342926,-0.0123333076296161,-0.00530793090037958,5
acf_e_fold_lag_um,B,C,extratrees,0.3357153840594467,0.1507363273535422,0.2597758398000778,0.3668049992087533,0.4078898057302581,5
acf_e_fold_lag_um,B,C,ridge,0.1525903351218038,0.04119446569562374,0.1405048439421148,0.1851662585773826,0.22170448892049313,5
