target_id,family,cv_variant,input_set,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
DCT_64_inf_PC3,D,proc_gss,R,-0.1709825891081247,-0.32343815201653814,-0.10137754176912628,5,0,extratrees-ridge
DCT_64_inf_PC3,D,src_gkf,A,-0.1929311091674933,-0.2351571781929187,-0.17014567145216192,5,0,extratrees-ridge
DCT_64_inf_PC3,D,src_gkf,C,-0.1272540237594436,-0.189081871836672,-0.0525072844524233,5,1,extratrees-ridge
DCT_64_inf_PC3,D,src_gkf,R,-0.0965897864764673,-0.09938620979579829,-0.0412813524319465,5,1,extratrees-ridge
DCT_64_inf_PC3,D,src_gss,A,-0.26235218908804087,-0.28030161675834653,-0.0455560002486382,5,0,extratrees-ridge
DCT_64_inf_PC3,D,src_gss,C,-0.2422009293730376,-0.4958350869346582,0.0007870502741081087,5,2,extratrees-ridge
DCT_64_inf_PC3,D,src_gss,R,-0.16221827196025468,-0.2935591351543807,-0.05645164363215889,5,1,extratrees-ridge
DCT_8_16_PC1,D,proc_gkf,A,-0.0888092960357155,-0.2300648880395949,0.038641102226640606,5,2,extratrees-ridge
DCT_8_16_PC1,D,proc_gkf,C,0.0362881750502839,-0.3881581590586801,0.1002216758495319,5,3,extratrees-ridge
DCT_8_16_PC1,D,proc_gkf,R,-0.2275499360590203,-0.3506489867941292,-0.2033391484514496,5,0,extratrees-ridge
DCT_8_16_PC1,D,proc_gss,A,-0.0163380740667481,-0.09283157165510819,0.0615794405732899,5,2,extratrees-ridge
DCT_8_16_PC1,D,proc_gss,C,-0.13781560781838142,-0.192898712214762,-0.02587844703117459,5,1,extratrees-ridge
DCT_8_16_PC1,D,proc_gss,R,-0.28147482819921865,-0.4453522023156438,-0.015044782369875102,5,1,extratrees-ridge
DCT_8_16_PC1,D,src_gkf,A,-0.1322430455833111,-0.3043889736196547,-0.1007383047842175,5,1,extratrees-ridge
DCT_8_16_PC1,D,src_gkf,C,-0.2339503901143738,-0.3961998752431693,-0.08924398094535149,5,1,extratrees-ridge
DCT_8_16_PC1,D,src_gkf,R,-0.26219834911966866,-0.3418833149085675,-0.2332158242555336,5,0,extratrees-ridge
DCT_8_16_PC1,D,src_gss,A,-0.07614616610182162,-0.6979501120947038,0.1286998989105818,5,2,extratrees-ridge
DCT_8_16_PC1,D,src_gss,C,-0.2781087427547244,-0.6204594994699033,0.020337739941478902,5,2,extratrees-ridge
DCT_8_16_PC1,D,src_gss,R,-0.2376739362041467,-0.239330363334912,-0.1051127163208363,5,0,extratrees-ridge
DCT_8_16_PC2,D,proc_gkf,A,-1.243701729425215,-5.979356671089412,-0.1390406862400526,5,0,extratrees-ridge
DCT_8_16_PC2,D,proc_gkf,C,-1.416307905463128,-2.087501407791428,-1.1907250998429422,5,1,extratrees-ridge
DCT_8_16_PC2,D,proc_gkf,R,-1.285622754944516,-2.065243756593095,-0.5343105103321893,5,0,extratrees-ridge
DCT_8_16_PC2,D,proc_gss,A,-0.1477096355648928,-0.29867421818629963,-0.0938687191096015,5,1,extratrees-ridge
DCT_8_16_PC2,D,proc_gss,C,0.1326827536159576,0.044782891623659504,0.1645294413678082,5,4,extratrees-ridge
DCT_8_16_PC2,D,proc_gss,R,-0.45125699409820347,-1.006920723983536,-0.18723174431691852,5,1,extratrees-ridge
DCT_8_16_PC2,D,src_gkf,A,-0.4753536810053224,-0.5032582281972933,-0.2030532188347236,5,1,extratrees-ridge
DCT_8_16_PC2,D,src_gkf,C,-0.3712530075475183,-1.0538780869946132,-0.275473535167834,5,1,extratrees-ridge
DCT_8_16_PC2,D,src_gkf,R,-0.6397068719252608,-2.164549344426554,-0.3090767196216635,5,0,extratrees-ridge
DCT_8_16_PC2,D,src_gss,A,-0.44894347116388145,-3.0569669855260324,-0.01601717248801779,5,1,extratrees-ridge
DCT_8_16_PC2,D,src_gss,C,-0.40544080704581176,-0.470636174833856,0.09753487655357511,5,2,extratrees-ridge
DCT_8_16_PC2,D,src_gss,R,-1.5451778706921764,-2.8684949784545113,-0.7643925248818619,5,0,extratrees-ridge
DCT_8_16_PC3,D,proc_gkf,A,-0.14754591282128926,-0.4689795091428859,0.2087520892051005,5,2,extratrees-ridge
DCT_8_16_PC3,D,proc_gkf,C,-0.16676322869698468,-0.3929711906576579,0.2360978878117797,5,2,extratrees-ridge
DCT_8_16_PC3,D,proc_gkf,R,-0.8111605019428852,-1.104574015295331,-0.8031885592463225,5,0,extratrees-ridge
DCT_8_16_PC3,D,proc_gss,A,-1.6484908428572758,-1.8991770774721404,-0.024194974291094802,5,1,extratrees-ridge
DCT_8_16_PC3,D,proc_gss,C,-0.905525435590079,-2.381826423105857,0.02693117667062679,5,2,extratrees-ridge
DCT_8_16_PC3,D,proc_gss,R,-0.41012482649084847,-1.794738509165609,-0.3007057505247942,5,1,extratrees-ridge
DCT_8_16_PC3,D,src_gkf,A,-0.6514030757968193,-1.2699802086755247,-0.6097687482548507,5,0,extratrees-ridge
DCT_8_16_PC3,D,src_gkf,C,-0.6002540713282971,-1.0450759827948624,-0.31763567547871063,5,0,extratrees-ridge
DCT_8_16_PC3,D,src_gkf,R,-0.24998665371938578,-1.0015342573595714,-0.1605972665603364,5,0,extratrees-ridge
DCT_8_16_PC3,D,src_gss,A,-0.2118691900700953,-1.0063177841651059,-0.1803482610387578,5,0,extratrees-ridge
DCT_8_16_PC3,D,src_gss,C,-0.259429179587576,-0.9332370769965243,-0.2522119465646473,5,0,extratrees-ridge
DCT_8_16_PC3,D,src_gss,R,-0.560356867696949,-0.6291173286810525,-0.5449328892766957,5,0,extratrees-ridge
E_DCT_16_32_frac,C,proc_gkf,A,0.1299728619039143,0.12316393825924221,0.30549405898146587,5,5,extratrees-ridge
E_DCT_16_32_frac,C,proc_gkf,C,0.0922488495663234,0.089401716677305,0.09731196419938959,5,5,extratrees-ridge
E_DCT_16_32_frac,C,proc_gkf,R,-0.03207941949477319,-0.045225830808584694,0.016058450159181697,5,2,extratrees-ridge
E_DCT_16_32_frac,C,proc_gss,A,0.1320958229548819,-0.002205554100080595,0.29574157575204696,5,3,extratrees-ridge
E_DCT_16_32_frac,C,proc_gss,C,0.1145278684614606,-0.031773401338035384,0.1681365525525308,5,3,extratrees-ridge
E_DCT_16_32_frac,C,proc_gss,R,-0.0577998429792948,-0.2278336214248022,-0.009317923888016999,5,1,extratrees-ridge
E_DCT_16_32_frac,C,src_gkf,A,0.1744098311735828,0.16451524146444188,0.21881241138230934,5,5,extratrees-ridge
E_DCT_16_32_frac,C,src_gkf,C,0.0014617805902334968,-0.00034800313674540617,0.12558420430842918,5,3,extratrees-ridge
E_DCT_16_32_frac,C,src_gkf,R,0.10548482183390731,-0.1725251660142527,0.12890375932142367,5,3,extratrees-ridge
E_DCT_16_32_frac,C,src_gss,A,0.1728279787767936,-0.017864151206680598,0.23999639311516222,5,3,extratrees-ridge
E_DCT_16_32_frac,C,src_gss,C,0.07888337225983799,-0.2804589172334503,0.10035503027979897,5,3,extratrees-ridge
E_DCT_16_32_frac,C,src_gss,R,-0.06977215612053499,-0.09625854034676021,0.057367412289198894,5,2,extratrees-ridge
E_DCT_32_64_frac,C,proc_gkf,A,0.004957641718710909,-0.11780626625344731,0.022514122344951898,5,3,extratrees-ridge
E_DCT_32_64_frac,C,proc_gkf,C,-0.103405938416787,-0.14201219582254973,0.012155879627172503,5,2,extratrees-ridge
E_DCT_32_64_frac,C,proc_gkf,R,-0.15042035541733267,-0.1569429023074509,-0.06531222020970232,5,1,extratrees-ridge
E_DCT_32_64_frac,C,proc_gss,A,-0.051626295477506634,-0.16364817627977402,-0.025516534985186197,5,1,extratrees-ridge
E_DCT_32_64_frac,C,proc_gss,C,-0.07686098249361173,-0.13760297295177928,-0.0498322609826298,5,1,extratrees-ridge
E_DCT_32_64_frac,C,proc_gss,R,-0.1309517876591467,-0.172710300142983,-0.04160640568527829,5,0,extratrees-ridge
E_DCT_32_64_frac,C,src_gkf,A,-0.039296381378074396,-0.23899208766042138,0.005185545060329394,5,2,extratrees-ridge
E_DCT_32_64_frac,C,src_gkf,C,-0.18681463276716578,-0.2743742237293837,0.004271352722987315,5,2,extratrees-ridge
E_DCT_32_64_frac,C,src_gkf,R,-0.24766594830127253,-0.27827755444694696,-0.0790415054042772,5,1,extratrees-ridge
E_DCT_32_64_frac,C,src_gss,A,-0.10895903826018588,-0.1784959873036402,0.03957967435738463,5,2,extratrees-ridge
E_DCT_32_64_frac,C,src_gss,C,-0.0954349701927823,-0.1788716637302019,-0.07616306235560061,5,0,extratrees-ridge
E_DCT_32_64_frac,C,src_gss,R,-0.14670450658597312,-0.15546174306447802,-0.1442228461992053,5,0,extratrees-ridge
E_DCT_64_inf_frac,C,proc_gkf,A,-0.17505457970348118,-0.21655622304586258,-0.1334396227904612,5,0,extratrees-ridge
E_DCT_64_inf_frac,C,proc_gkf,C,-0.0726522646997342,-0.1235186258413647,-0.03364732165386117,5,1,extratrees-ridge
E_DCT_64_inf_frac,C,proc_gkf,R,0.10776689114172,0.0762384134002223,0.11388626695134296,5,4,extratrees-ridge
E_DCT_64_inf_frac,C,proc_gss,A,-0.1176966172105255,-0.1342007867682254,-0.1107065131273787,5,0,extratrees-ridge
E_DCT_64_inf_frac,C,proc_gss,C,0.026211740810952178,-0.06338079742389052,0.0634663006205165,5,3,extratrees-ridge
E_DCT_64_inf_frac,C,proc_gss,R,0.1185008005052503,0.017326243242215295,0.1228569248770277,5,4,extratrees-ridge
E_DCT_64_inf_frac,C,src_gkf,A,0.03728970307245999,-0.04417234728716429,0.09503788846319511,5,3,extratrees-ridge
E_DCT_64_inf_frac,C,src_gkf,C,0.01660163302859552,0.007507175289960477,0.10327777625100248,5,4,extratrees-ridge
E_DCT_64_inf_frac,C,src_gkf,R,0.1760708958177944,0.1452556921722249,0.24048226427756708,5,5,extratrees-ridge
E_DCT_64_inf_frac,C,src_gss,A,0.0608479387822827,0.028037156160275467,0.1823637153561984,5,5,extratrees-ridge
E_DCT_64_inf_frac,C,src_gss,C,0.21238708342294368,0.1305376057395205,0.23217127799721887,5,5,extratrees-ridge
E_DCT_64_inf_frac,C,src_gss,R,0.2986615003261815,0.2503769449242501,0.3290737887456838,5,5,extratrees-ridge
E_DCT_8_16_frac,C,proc_gkf,A,0.14941453680606567,0.02539034901193221,0.1611494603182559,5,4,extratrees-ridge
E_DCT_8_16_frac,C,proc_gkf,C,0.20004922336978204,0.049175014254837585,0.25164968779885966,5,4,extratrees-ridge
E_DCT_8_16_frac,C,proc_gkf,R,0.3063164205190739,0.29906203684758925,0.3508158239618855,5,5,extratrees-ridge
E_DCT_8_16_frac,C,proc_gss,A,0.0913920867551436,-0.02219344014308683,0.12506876545156953,5,3,extratrees-ridge
E_DCT_8_16_frac,C,proc_gss,C,0.09214312511238526,0.0049486642373148815,0.26722303658294905,5,4,extratrees-ridge
E_DCT_8_16_frac,C,proc_gss,R,0.27568560573092693,0.1090723637852602,0.3282611402062541,5,4,extratrees-ridge
E_DCT_8_16_frac,C,src_gkf,A,0.19344937197190487,0.08635449336180345,0.2088513900765459,5,5,extratrees-ridge
E_DCT_8_16_frac,C,src_gkf,C,0.17109194584969406,0.1556792270187105,0.22021330853089954,5,5,extratrees-ridge
E_DCT_8_16_frac,C,src_gkf,R,0.37603242258411296,0.2619763977319493,0.47952986920196317,5,5,extratrees-ridge
E_DCT_8_16_frac,C,src_gss,A,0.2655924321403341,0.19995187525916075,0.2728589166479859,5,5,extratrees-ridge
E_DCT_8_16_frac,C,src_gss,C,0.26880466080162757,0.22265277680848222,0.2959652318368621,5,5,extratrees-ridge
E_DCT_8_16_frac,C,src_gss,R,0.24362593402437602,0.21322273213762358,0.43406834443413717,5,5,extratrees-ridge
Sa_um,B,proc_gkf,A,-0.08869765043231717,-0.12087508555255669,-0.02664222545684719,5,1,extratrees-ridge
Sa_um,B,proc_gkf,C,-0.034242350650101505,-0.0667679563620487,-0.010996893237115585,5,1,extratrees-ridge
Sa_um,B,proc_gkf,R,0.012623136011768593,-0.1950145792101215,0.03366885765079258,5,3,extratrees-ridge
Sa_um,B,proc_gss,A,-0.030644204992981802,-0.24203539302597252,0.014291316150086102,5,2,extratrees-ridge
Sa_um,B,proc_gss,C,0.008420951924201586,-0.1740953841495793,0.008562471495071805,5,3,extratrees-ridge
Sa_um,B,proc_gss,R,7.491762112249445e-05,-0.08664399935468539,0.00788250596394989,5,3,extratrees-ridge
Sa_um,B,src_gkf,A,-0.09312251854671472,-0.1941419172213992,-0.07216122979202111,5,1,extratrees-ridge
Sa_um,B,src_gkf,C,-0.07675354109880181,-0.0817013885110946,-0.0767199010434535,5,0,extratrees-ridge
Sa_um,B,src_gkf,R,-0.09749300604444211,-0.1591940160135075,-0.08874239068011071,5,1,extratrees-ridge
Sa_um,B,src_gss,A,-0.0945179448163161,-0.2228417876945262,-0.0826206855873631,5,1,extratrees-ridge
Sa_um,B,src_gss,C,-0.07023121517305839,-0.07571664954642382,-0.0322917778781759,5,1,extratrees-ridge
Sa_um,B,src_gss,R,-0.050251116991146094,-0.09224926754248641,-0.028830224376636404,5,1,extratrees-ridge
Sq_um,B,proc_gkf,A,-0.08700767718830961,-0.11080318149965168,-0.0616428343933772,5,1,extratrees-ridge
Sq_um,B,proc_gkf,C,-0.062810451766321,-0.0803515386557601,-0.061708657046814885,5,0,extratrees-ridge
Sq_um,B,proc_gkf,R,-0.03477777892654109,-0.38076620598896893,-0.001251336666394598,5,1,extratrees-ridge
Sq_um,B,proc_gss,A,-0.17768583922487677,-0.5173989953100168,-0.0863035797107578,5,0,extratrees-ridge
Sq_um,B,proc_gss,C,-0.13834893734231168,-0.25463785991055277,-0.0440703052210418,5,0,extratrees-ridge
Sq_um,B,proc_gss,R,-0.0501167723391372,-0.1909345737271143,0.012746797704946009,5,2,extratrees-ridge
Sq_um,B,src_gkf,A,-0.10668420199689459,-0.11379978665814061,-0.016650245707394096,5,1,extratrees-ridge
Sq_um,B,src_gkf,C,0.0011015056779307003,-0.1620410278725162,0.011833578493452623,5,3,extratrees-ridge
Sq_um,B,src_gkf,R,-0.07565322937153302,-0.1350518946043418,-0.008298809391818623,5,1,extratrees-ridge
Sq_um,B,src_gss,A,-0.0879979260755112,-0.1839014781162296,-0.029756555533187096,5,1,extratrees-ridge
Sq_um,B,src_gss,C,-0.1308127789390985,-0.1459995794700508,-0.0469000309453005,5,1,extratrees-ridge
