session_id,measurement_id,sample_id,profile_axis,position_um,height_median_um,valid_count
zro2_120_formal,2,2,u,-24.25,-8.636279870448949,96
zro2_120_formal,2,2,u,-23.75,-8.66593869319859,96
zro2_120_formal,2,2,u,-23.25,-8.61898342395875,96
zro2_120_formal,2,2,u,-22.75,-8.586598360629186,96
zro2_120_formal,2,2,u,-22.25,-8.55193001225756,96
zro2_120_formal,2,2,u,-21.75,-8.533178582664435,96
zro2_120_formal,2,2,u,-21.25,-8.52345535449492,96
zro2_120_formal,2,2,u,-20.75,-8.537772441153217,96
zro2_120_formal,2,2,u,-20.25,-8.547483098246884,96
zro2_120_formal,2,2,u,-19.75,-8.531146198129795,96
zro2_120_formal,2,2,u,-19.25,-8.521936021741915,96
zro2_120_formal,2,2,u,-18.75,-8.530134404238185,96
zro2_120_formal,2,2,u,-18.25,-8.493298051734897,96
zro2_120_formal,2,2,u,-17.75,-8.444407889587314,96
zro2_120_formal,2,2,u,-17.25,-8.433065526430894,96
zro2_120_formal,2,2,u,-16.75,-8.412009182221773,96
zro2_120_formal,2,2,u,-16.25,-8.417508955553814,96
zro2_120_formal,2,2,u,-15.75,-8.488646095237568,96
zro2_120_formal,2,2,u,-15.25,-8.524267735893957,96
zro2_120_formal,2,2,u,-14.75,-8.558923066953378,96
zro2_120_formal,2,2,u,-14.25,-8.548638373030201,96
zro2_120_formal,2,2,u,-13.75,-8.554376986934852,96
zro2_120_formal,2,2,u,-13.25,-8.600484322309045,96
zro2_120_formal,2,2,u,-12.75,-8.612355044952938,96
zro2_120_formal,2,2,u,-12.25,-8.644653095901553,96
zro2_120_formal,2,2,u,-11.75,-8.693467479322992,96
zro2_120_formal,2,2,u,-11.25,-8.714958981709259,96
zro2_120_formal,2,2,u,-10.75,-8.694511383456597,96
zro2_120_formal,2,2,u,-10.25,-8.697069568871335,96
zro2_120_formal,2,2,u,-9.75,-8.670099310670423,96
zro2_120_formal,2,2,u,-9.25,-8.666014202460943,96
zro2_120_formal,2,2,u,-8.75,-8.664031415016689,96
zro2_120_formal,2,2,u,-8.25,-8.64834724172047,96
zro2_120_formal,2,2,u,-7.75,-8.618466192512097,96
zro2_120_formal,2,2,u,-7.25,-8.636584983287268,96
zro2_120_formal,2,2,u,-6.75,-8.635326453275692,96
zro2_120_formal,2,2,u,-6.25,-8.621135136592507,96
zro2_120_formal,2,2,u,-5.75,-8.62232674216984,96
zro2_120_formal,2,2,u,-5.25,-8.665825786879953,96
zro2_120_formal,2,2,u,-4.75,-8.704034130818588,96
zro2_120_formal,2,2,u,-4.25,-8.746157517668145,96
zro2_120_formal,2,2,u,-3.75,-8.730895298278355,96
zro2_120_formal,2,2,u,-3.25,-8.665764657798647,96
zro2_120_formal,2,2,u,-2.75,-8.62357482126736,96
zro2_120_formal,2,2,u,-2.25,-8.58517802699058,96
zro2_120_formal,2,2,u,-1.75,-8.540191334006835,96
zro2_120_formal,2,2,u,-1.25,-8.51071092192981,96
zro2_120_formal,2,2,u,-0.75,-8.474030328623067,96
zro2_120_formal,2,2,u,-0.25,-8.479434936055254,96
zro2_120_formal,2,2,u,0.25,-8.46905266056648,96
zro2_120_formal,2,2,u,0.75,-8.464486014403299,96
zro2_120_formal,2,2,u,1.25,-8.47236123145208,96
zro2_120_formal,2,2,u,1.75,-8.529280345074685,96
zro2_120_formal,2,2,u,2.25,-8.573782158113143,96
zro2_120_formal,2,2,u,2.75,-8.63780586229882,96
zro2_120_formal,2,2,u,3.25,-8.673789226064592,96
zro2_120_formal,2,2,u,3.75,-8.682289744537645,96
zro2_120_formal,2,2,u,4.25,-8.669597092017408,96
zro2_120_formal,2,2,u,4.75,-8.62935399876696,96
zro2_120_formal,2,2,u,5.25,-8.600796514800534,96
zro2_120_formal,2,2,u,5.75,-8.576772918619525,96
zro2_120_formal,2,2,u,6.25,-8.531984531277818,96
zro2_120_formal,2,2,u,6.75,-8.487806173806696,96
zro2_120_formal,2,2,u,7.25,-8.515685417291536,96
zro2_120_formal,2,2,u,7.75,-8.544134087731106,96
zro2_120_formal,2,2,u,8.25,-8.59130296019638,96
zro2_120_formal,2,2,u,8.75,-8.606318885439354,96
zro2_120_formal,2,2,u,9.25,-8.64931430750213,96
zro2_120_formal,2,2,u,9.75,-8.65977977787502,96
zro2_120_formal,2,2,u,10.25,-8.650978885687003,96
zro2_120_formal,2,2,u,10.75,-8.640915228583946,96
