dataset_index,session_id,sample_id,shared_height_source_id,session_role,component_id,base_family_key
157,zro2_60_pass,18,zro2_60_pass:m009,pass_main,ce339b490e43317abbeef86cc4b7c5d3ea5412190fa2f7aa0a000aec58a81233,2000|10|5|8
158,zro2_60_pass,19,zro2_60_pass:m010,pass_main,ce339b490e43317abbeef86cc4b7c5d3ea5412190fa2f7aa0a000aec58a81233,2000|10|5|8
159,zro2_60_pass,20,zro2_60_pass:m010,pass_main,ce339b490e43317abbeef86cc4b7c5d3ea5412190fa2f7aa0a000aec58a81233,2000|10|5|8
160,zro2_60_pass,21,zro2_60_pass:m011,pass_main,0173a9b0e73614a22e0130f113fb8339d3922904a34f19fff1ba4a50c552968f,500|10|5|8
161,zro2_60_pass,22,zro2_60_pass:m011,pass_main,0173a9b0e73614a22e0130f113fb8339d3922904a34f19fff1ba4a50c552968f,500|10|5|8
162,zro2_60_pass,23,zro2_60_pass:m012,pass_main,0173a9b0e73614a22e0130f113fb8339d3922904a34f19fff1ba4a50c552968f,500|10|5|8
163,zro2_60_pass,24,zro2_60_pass:m012,pass_main,0173a9b0e73614a22e0130f113fb8339d3922904a34f19fff1ba4a50c552968f,500|10|5|8
164,zro2_60_pass,25,zro2_60_pass:m013,pass_main,5886f771fde37e70fe702dc50f81a0018420e6baac5f3a761311ef50098c5342,4000|10|20|10
165,zro2_60_pass,26,zro2_60_pass:m013,pass_main,5886f771fde37e70fe702dc50f81a0018420e6baac5f3a761311ef50098c5342,4000|10|20|10
166,zro2_60_pass,27,zro2_60_pass:m014,pass_main,5886f771fde37e70fe702dc50f81a0018420e6baac5f3a761311ef50098c5342,4000|10|20|10
167,zro2_60_pass,28,zro2_60_pass:m014,pass_main,5886f771fde37e70fe702dc50f81a0018420e6baac5f3a761311ef50098c5342,4000|10|20|10
168,zro2_60_pass,29,zro2_60_pass:m015,pass_main,d48d7315f47e485987c1fcbacb55056d36e090c8fd8b14eb91aeacb0d1ffd139,2000|2|5|2
169,zro2_60_pass,30,zro2_60_pass:m015,pass_main,d48d7315f47e485987c1fcbacb55056d36e090c8fd8b14eb91aeacb0d1ffd139,2000|2|5|2
170,zro2_60_pass,31,zro2_60_pass:m016,pass_main,d48d7315f47e485987c1fcbacb55056d36e090c8fd8b14eb91aeacb0d1ffd139,2000|2|5|2
171,zro2_60_pass,32,zro2_60_pass:m016,pass_main,d48d7315f47e485987c1fcbacb55056d36e090c8fd8b14eb91aeacb0d1ffd139,2000|2|5|2
172,zro2_60_pass,33,zro2_60_pass:m017,pass_main,0636ac9ba108ea692d11884ee67cb57b21b11571cdea98193cd247df27d8cdcd,223|5|20|10
173,zro2_60_pass,34,zro2_60_pass:m017,pass_main,0636ac9ba108ea692d11884ee67cb57b21b11571cdea98193cd247df27d8cdcd,223|5|20|10
174,zro2_60_pass,35,zro2_60_pass:m018,pass_main,0636ac9ba108ea692d11884ee67cb57b21b11571cdea98193cd247df27d8cdcd,223|5|20|10
175,zro2_60_pass,36,zro2_60_pass:m018,pass_main,0636ac9ba108ea692d11884ee67cb57b21b11571cdea98193cd247df27d8cdcd,223|5|20|10
176,zro2_60_pass,37,zro2_60_pass:m019,pass_main,be21bfed3c648b372b27970a9f1258427c6746d96e1eb37fa62715eb2e831bdc,500|20|15|6
177,zro2_60_pass,38,zro2_60_pass:m019,pass_main,be21bfed3c648b372b27970a9f1258427c6746d96e1eb37fa62715eb2e831bdc,500|20|15|6
178,zro2_60_pass,39,zro2_60_pass:m020,pass_main,be21bfed3c648b372b27970a9f1258427c6746d96e1eb37fa62715eb2e831bdc,500|20|15|6
179,zro2_60_pass,40,zro2_60_pass:m020,pass_main,be21bfed3c648b372b27970a9f1258427c6746d96e1eb37fa62715eb2e831bdc,500|20|15|6
180,zro2_60_pass,41,zro2_60_pass:m021,pass_main,8a8473e9b2ce9f38abfa999c0e58f70d83edb9b52cced02647e66c88c0e8faa0,1000|40|15|10
181,zro2_60_pass,42,zro2_60_pass:m021,pass_main,8a8473e9b2ce9f38abfa999c0e58f70d83edb9b52cced02647e66c88c0e8faa0,1000|40|15|10
182,zro2_60_pass,43,zro2_60_pass:m022,pass_main,8a8473e9b2ce9f38abfa999c0e58f70d83edb9b52cced02647e66c88c0e8faa0,1000|40|15|10
183,zro2_60_pass,44,zro2_60_pass:m022,pass_main,8a8473e9b2ce9f38abfa999c0e58f70d83edb9b52cced02647e66c88c0e8faa0,1000|40|15|10
184,zro2_60_pass,45,zro2_60_pass:m023,pass_main,f877daa12838b05c4c46e233ddaf7aae23bd076119a0a051eda3bbcccc879b35,2000|2|10|4
185,zro2_60_pass,46,zro2_60_pass:m023,pass_main,f877daa12838b05c4c46e233ddaf7aae23bd076119a0a051eda3bbcccc879b35,2000|2|10|4
186,zro2_60_pass,47,zro2_60_pass:m024,pass_main,f877daa12838b05c4c46e233ddaf7aae23bd076119a0a051eda3bbcccc879b35,2000|2|10|4
187,zro2_60_pass,48,zro2_60_pass:m024,pass_main,f877daa12838b05c4c46e233ddaf7aae23bd076119a0a051eda3bbcccc879b35,2000|2|10|4
188,zro2_60_pass,49,zro2_60_pass:m025,pass_main,52f32506f2cf5af65c3f6e92444a7466c3f60cd39101a8d7adee76b6c22a3fcc,1000|2|10|2
