arm,target_id,input_set,model,fold,R2
minus_top1,median_depth_um,A,ridge,2,0.48897746049267
minus_top1,median_depth_um,A,extratrees,2,0.9351504474842609
minus_top1,Sq_um,A,ridge,2,0.1033408838046358
minus_top1,Sq_um,A,extratrees,2,-0.21922808978254094
minus_top1,E_DCT_8_16_frac,A,ridge,2,0.48198440523990327
minus_top1,E_DCT_8_16_frac,A,extratrees,2,0.5676365305231792
minus_top1,rms_DCT_8_16_um,A,ridge,2,0.0979663837970759
minus_top1,rms_DCT_8_16_um,A,extratrees,2,0.040037749466073635
minus_top1,rms_DCT_16_32_um,A,ridge,2,0.09733761282085285
minus_top1,rms_DCT_16_32_um,A,extratrees,2,-0.15810327350090514
minus_top1,rms_DCT_32_64_um,A,ridge,2,0.08728018243079871
minus_top1,rms_DCT_32_64_um,A,extratrees,2,-0.2823399321481832
minus_top1,rms_DCT_64_inf_um,A,ridge,2,0.13652743034973336
minus_top1,rms_DCT_64_inf_um,A,extratrees,2,-0.17360232123500685
minus_top1,median_depth_um,R,ridge,2,0.6325784092676126
minus_top1,median_depth_um,R,extratrees,2,0.8002775960081465
minus_top1,Sq_um,R,ridge,2,0.2116264682297978
minus_top1,Sq_um,R,extratrees,2,-0.0869876472372133
minus_top1,E_DCT_8_16_frac,R,ridge,2,0.165441270155809
minus_top1,E_DCT_8_16_frac,R,extratrees,2,0.38856972307637816
minus_top1,rms_DCT_8_16_um,R,ridge,2,0.1269839796525808
minus_top1,rms_DCT_8_16_um,R,extratrees,2,0.12928911211410254
minus_top1,rms_DCT_16_32_um,R,ridge,2,0.25924686690788235
minus_top1,rms_DCT_16_32_um,R,extratrees,2,0.13579288791094923
minus_top1,rms_DCT_32_64_um,R,ridge,2,0.18830291357729345
minus_top1,rms_DCT_32_64_um,R,extratrees,2,-0.02105497759638575
minus_top1,rms_DCT_64_inf_um,R,ridge,2,0.1630556170552807
minus_top1,rms_DCT_64_inf_um,R,extratrees,2,-0.027951882254312554
minus_top1,median_depth_um,A,ridge,3,0.6510005198256149
minus_top1,median_depth_um,A,extratrees,3,0.9090952508485944
minus_top1,Sq_um,A,ridge,3,-0.12385238647253471
minus_top1,Sq_um,A,extratrees,3,0.03691609726855927
minus_top1,E_DCT_8_16_frac,A,ridge,3,0.47236855199279315
minus_top1,E_DCT_8_16_frac,A,extratrees,3,0.690191867827626
minus_top1,rms_DCT_8_16_um,A,ridge,3,0.12798548281720035
minus_top1,rms_DCT_8_16_um,A,extratrees,3,-0.04568041352233276
minus_top1,rms_DCT_16_32_um,A,ridge,3,-0.0015931970950038288
minus_top1,rms_DCT_16_32_um,A,extratrees,3,-0.11844013351030447
minus_top1,rms_DCT_32_64_um,A,ridge,3,-0.03757700753824844
minus_top1,rms_DCT_32_64_um,A,extratrees,3,-0.12391102723543468
minus_top1,rms_DCT_64_inf_um,A,ridge,3,-0.03982307240949279
minus_top1,rms_DCT_64_inf_um,A,extratrees,3,0.2239961604981957
minus_top1,median_depth_um,R,ridge,3,0.6774382405782275
minus_top1,median_depth_um,R,extratrees,3,0.9400248885435506
minus_top1,Sq_um,R,ridge,3,-0.19268745299607337
minus_top1,Sq_um,R,extratrees,3,-0.22585932190278402
minus_top1,E_DCT_8_16_frac,R,ridge,3,-0.03238320559363994
minus_top1,E_DCT_8_16_frac,R,extratrees,3,0.33096777261865074
minus_top1,rms_DCT_8_16_um,R,ridge,3,-0.07062902637703461
minus_top1,rms_DCT_8_16_um,R,extratrees,3,-0.22313648011581444
minus_top1,rms_DCT_16_32_um,R,ridge,3,-0.0035584099339343034
minus_top1,rms_DCT_16_32_um,R,extratrees,3,-0.2627658586893735
minus_top1,rms_DCT_32_64_um,R,ridge,3,-0.13009697541610277
minus_top1,rms_DCT_32_64_um,R,extratrees,3,-0.5535045796587412
minus_top1,rms_DCT_64_inf_um,R,ridge,3,-0.17360274085759952
minus_top1,rms_DCT_64_inf_um,R,extratrees,3,0.05032118012893727
minus_top1,median_depth_um,A,ridge,4,0.4970562955323603
